year,new_district_id,candidate,party,estimated_votes
2016,9,Cole,DEMOCRAT,6.681074363165184
2016,9,Weber,REPUBLICAN,18.96073343265521
2016,14,Cole,DEMOCRAT,19003.541397040324
2016,14,Weber,REPUBLICAN,25258.36243536192
2016,36,Cole,DEMOCRAT,23021.777528596507
2016,36,Weber,REPUBLICAN,18670.67683120543
2018,9,BELL,DEMOCRAT,5.192394388744439
2018,9,CONLEY,LIBERTARIAN,0.22829227484101186
2018,9,WEBER,REPUBLICAN,17.279245084901266
2018,14,BELL,DEMOCRAT,15623.056346800613
2018,14,CONLEY,LIBERTARIAN,356.8602489300316
2018,14,WEBER,REPUBLICAN,21416.06180945168
2018,36,BELL,DEMOCRAT,20530.751258810647
2018,36,CONLEY,LIBERTARIAN,327.91145879512743
2018,36,WEBER,REPUBLICAN,15532.658945463418
2020,9,BELL,DEMOCRAT,5.687559133710633
2020,9,WEBER,REPUBLICAN,22.9595447440745
2020,14,BELL,DEMOCRAT,18786.11386920816
2020,14,WEBER,REPUBLICAN,28416.7230403506
2020,36,BELL,DEMOCRAT,25410.19857165813
2020,36,WEBER,REPUBLICAN,19720.317414905327
2022,9,BABIN,REPUBLICAN,17.382832942285496
2022,9,HAIRE,DEMOCRAT,3.7254809541798215
2022,14,BABIN,REPUBLICAN,135.31551320392978
2022,14,HAIRE,DEMOCRAT,60.46122705159782
2022,14,WEBER,REPUBLICAN,20662.96499291979
2022,14,WILLIAMS,DEMOCRAT,10885.820049072392
2022,36,BABIN,REPUBLICAN,9512.301653853785
2022,36,HAIRE,DEMOCRAT,9593.813291994222
2022,36,WEBER,REPUBLICAN,4918.035007080207
2022,36,WILLIAMS,DEMOCRAT,5784.179950927607
2024,9,BABIN,REPUBLICAN,21.452161044704216
2024,9,STEELE,DEMOCRAT,4.94019220838633
2024,14,BABIN,REPUBLICAN,178.44849434430586
2024,14,HART,DEMOCRAT,15318.43557272545
2024,14,STEELE,DEMOCRAT,83.63133103699947
2024,14,WEBER,REPUBLICAN,27354.304877394134
2024,36,BABIN,REPUBLICAN,12332.099344610988
2024,36,HART,DEMOCRAT,7976.564427274548
2024,36,STEELE,DEMOCRAT,13544.428476754614
2024,36,WEBER,REPUBLICAN,6220.695122605868
