old_precinct_id,new_district_id,fragment_population,precinct_total,weight
2450001,36,6354,6354,1.0
2450002,36,2872,2872,1.0
2450003,36,4839,4839,1.0
2450004,36,3316,3316,1.0
2450005,36,4391,4391,1.0
2450006,36,4695,4695,1.0
2450007,36,2941,2941,1.0
2450008,14,0,1876,0.0
2450008,36,1876,1876,1.0
2450009,14,6504,6504,1.0
2450010,14,92,2091,0.04399808703969393
2450010,36,1999,2091,0.9560019129603061
2450011,14,1070,1149,0.9312445604873804
2450011,36,79,1149,0.06875543951261967
2450012,14,1396,1396,1.0
2450012,36,0,1396,0.0
2450013,14,712,712,1.0
2450014,14,287,4208,0.06820342205323193
2450014,36,3921,4208,0.9317965779467681
2450015,14,112,3931,0.028491477995421014
2450015,36,3819,3931,0.9715085220045789
2450016,14,10,1583,0.006317119393556538
2450016,36,1573,1583,0.9936828806064435
2450017,14,50,5239,0.00954380606986066
2450017,36,5189,5239,0.9904561939301394
2450018,14,928,4393,0.21124516275893468
2450018,36,3465,4393,0.7887548372410653
2450019,14,1112,5168,0.21517027863777088
2450019,36,4056,5168,0.7848297213622291
2450020,14,3415,4637,0.7364675436704766
2450020,36,1222,4637,0.2635324563295234
2450021,14,8193,8193,1.0
2450022,36,7690,7690,1.0
2450023,36,4084,4084,1.0
2450024,9,56,753,0.07436918990703852
2450024,36,697,753,0.9256308100929614
2450025,36,4540,4540,1.0
2450026,36,8918,8918,1.0
2450027,36,4527,4527,1.0
2450028,14,1136,3106,0.3657437218287186
2450028,36,1970,3106,0.6342562781712814
2450029,14,2857,3396,0.841283863368669
2450029,36,539,3396,0.15871613663133097
2450030,14,2598,3068,0.8468057366362451
2450030,36,470,3068,0.15319426336375488
2450031,14,5116,5116,1.0
2450032,14,455,455,1.0
2450032,36,0,455,0.0
2450033,14,9649,9649,1.0
2450034,14,2749,2749,1.0
2450035,14,4037,4037,1.0
2450036,14,3828,3828,1.0
2450037,14,5470,5470,1.0
2450038,14,6725,6725,1.0
2450039,14,1933,6419,0.3011372487926468
2450039,36,4486,6419,0.6988627512073532
2450040,14,6084,6084,1.0
2450041,14,2542,2542,1.0
2450042,14,5186,5186,1.0
2450043,14,6827,6827,1.0
2450044,14,3706,3706,1.0
2450045,14,4180,4180,1.0
2450046,14,4473,4473,1.0
2450047,14,6611,6611,1.0
2450048,14,4972,4972,1.0
2450049,14,3263,3263,1.0
2450050,14,6414,6414,1.0
2450051,14,2123,2123,1.0
2450052,14,926,926,1.0
2450053,14,3185,3185,1.0
2450054,14,961,961,1.0
2450055,14,747,747,1.0
2450056,14,6634,6634,1.0
2450057,14,1046,1046,1.0
2450058,14,53,53,1.0
2450059,14,1957,1957,1.0
2450060,14,7186,7186,1.0
2450061,14,7302,7302,1.0
2450062,36,9584,9584,1.0
2450063,14,0,3693,0.0
2450063,36,3693,3693,1.0
2450064,14,1717,2115,0.8118203309692671
2450064,36,398,2115,0.18817966903073285
2450065,36,6972,6972,1.0
2450066,36,2974,2974,1.0
2450067,14,6621,8879,0.7456920824417164
2450067,36,2258,8879,0.2543079175582836
2450068,36,9464,9464,1.0
2450069,14,7534,7534,1.0
2450070,14,6639,6639,1.0
2450071,14,585,585,1.0
2450072,36,8102,8102,1.0
2450073,36,7192,7192,1.0
2450074,14,4559,4559,1.0
2450075,14,2547,2547,1.0
2450076,14,4904,4904,1.0
2450077,14,0,5336,0.0
2450077,36,5336,5336,1.0
2450078,36,4411,4411,1.0
2450079,14,60,5613,0.010689470871191877
2450079,36,5553,5613,0.9893105291288081
2450080,14,1310,1310,1.0
2450081,14,1562,1562,1.0
2450082,14,7752,7752,1.0
2450083,14,3518,3518,1.0
2450084,36,2183,2183,1.0
2450085,14,268,3501,0.07654955726935161
2450085,36,3233,3501,0.9234504427306484
2450086,36,5982,5982,1.0
2450087,36,2903,2903,1.0
2450088,36,5615,5615,1.0
2450089,36,2075,2075,1.0
2450090,36,219,219,1.0
2450091,9,2,1543,0.0012961762799740765
2450091,14,363,1543,0.23525599481529488
2450091,36,1178,1543,0.7634478289047311
2450092,14,2431,2871,0.8467432950191571
2450092,36,440,2871,0.1532567049808429
2450093,14,4454,4454,1.0
2450094,36,6315,6315,1.0
2450095,14,3721,3721,1.0
2450096,14,2226,2226,1.0
2450097,14,495,495,1.0
2450098,14,1921,1921,1.0
2450099,36,5115,5115,1.0
2450100,36,7378,7378,1.0
2450101,14,13,13,1.0
2450101,36,0,13,0.0
2450102,14,1043,1043,1.0
2450103,14,1294,1294,1.0
2450104,14,81,81,1.0
2450105,14,3129,3129,1.0
2450106,14,3352,3352,1.0
2450107,14,4969,4969,1.0
2450108,14,1341,1341,1.0
2450109,14,1578,1578,1.0
