year,new_district_id,candidate,party,estimated_votes
2016,15,Gonzalez,DEMOCRAT,0.0
2016,15,Leone,LIBERTARIAN,0.0
2016,15,Tijerina,OTHER,0.0
2016,15,Westley,REPUBLICAN,0.0
2016,28,Gonzalez,DEMOCRAT,1678.0
2016,28,Leone,LIBERTARIAN,15.0
2016,28,Tijerina,OTHER,53.0
2016,28,Westley,REPUBLICAN,248.0
2018,15,CRISTO,LIBERTARIAN,0.0
2018,15,GONZALEZ,DEMOCRAT,0.0
2018,15,WESTLEY,REPUBLICAN,0.0
2018,28,CRISTO,LIBERTARIAN,20.0
2018,28,GONZALEZ,DEMOCRAT,1162.0
2018,28,WESTLEY,REPUBLICAN,243.0
2020,15,DE LA CRUZ HERNANDEZ,REPUBLICAN,0.0
2020,15,GONZALEZ,DEMOCRAT,0.0
2020,15,LEONE,LIBERTARIAN,0.0
2020,28,DE LA CRUZ HERNANDEZ,REPUBLICAN,483.0
2020,28,GONZALEZ,DEMOCRAT,1398.0
2020,28,LEONE,LIBERTARIAN,10.0
2022,15,CUELLAR,DEMOCRAT,0.0
2022,15,GARCIA,REPUBLICAN,0.0
2022,28,CUELLAR,DEMOCRAT,1137.0
2022,28,GARCIA,REPUBLICAN,356.0
2024,15,CUELLAR,DEMOCRAT,0.0
2024,15,FURMAN,REPUBLICAN,0.0
2024,28,CUELLAR,DEMOCRAT,1099.0
2024,28,FURMAN,REPUBLICAN,387.0
