year,new_district_id,candidate,party,estimated_votes
2016,15,Gonzalez,REPUBLICAN,4671.062281277676
2016,15,Vela,DEMOCRAT,6542.230458103138
2016,28,Gonzalez,REPUBLICAN,179.08719805596118
2016,28,Vela,DEMOCRAT,148.38015804866924
2016,34,Gonzalez,REPUBLICAN,197.85052066636277
2016,34,Vela,DEMOCRAT,93.38938384819264
2018,15,GONZALEZ,REPUBLICAN,3986.386496306785
2018,15,VELA,DEMOCRAT,5124.406298086015
2018,28,GONZALEZ,REPUBLICAN,160.34092964306862
2018,28,VELA,DEMOCRAT,117.62038079736699
2018,34,GONZALEZ,REPUBLICAN,180.27257405014694
2018,34,VELA,DEMOCRAT,69.97332111661711
2020,15,CRISTO,LIBERTARIAN,151.3258863732137
2020,15,GONZALEZ,REPUBLICAN,6192.67083638453
2020,15,ROYAL,OTHER,128.35160774160528
2020,15,VELA,DEMOCRAT,6075.367376140707
2020,28,CRISTO,LIBERTARIAN,4.576451031499856
2020,28,GONZALEZ,REPUBLICAN,237.26725677203996
2020,28,ROYAL,OTHER,3.5263490744419728
2020,28,VELA,DEMOCRAT,137.54113725449628
2020,34,CRISTO,LIBERTARIAN,3.097662595286441
2020,34,GONZALEZ,REPUBLICAN,254.0619068434298
2020,34,ROYAL,OTHER,4.122043183952753
2020,34,VELA,DEMOCRAT,88.09148660479573
2022,15,DE LA CRUZ,REPUBLICAN,4436.93362004003
2022,15,LEONE,LIBERTARIAN,105.71313886267173
2022,15,VALLEJO,DEMOCRAT,4195.198273744871
2022,28,DE LA CRUZ,REPUBLICAN,187.75751052094566
2022,28,LEONE,LIBERTARIAN,4.311259570487426
2022,28,VALLEJO,DEMOCRAT,99.32003758288177
2022,34,DE LA CRUZ,REPUBLICAN,198.3088694390239
2022,34,LEONE,LIBERTARIAN,2.9756015668408593
2022,34,VALLEJO,DEMOCRAT,56.481688672247394
2024,15,DE LA CRUZ,REPUBLICAN,6656.908725703669
2024,15,VALLEJO,DEMOCRAT,5324.093063291742
2024,28,DE LA CRUZ,REPUBLICAN,263.72519123523
2024,28,VALLEJO,DEMOCRAT,121.04696406025103
2024,34,DE LA CRUZ,REPUBLICAN,271.3660830611013
2024,34,VALLEJO,DEMOCRAT,75.85997264800699
