old_precinct_id,new_district_id,fragment_population,precinct_total,weight
2490001,15,2197,2197,1.0
2490002,15,2422,2614,0.9265493496557001
2490002,28,99,2614,0.03787299158377965
2490002,34,93,2614,0.03557765876052028
2490003,15,2091,2956,0.7073748308525034
2490003,28,415,2956,0.14039242219215156
2490003,34,450,2956,0.15223274695534506
2490004,15,2277,2309,0.9861411866608921
2490004,34,32,2309,0.013858813339107838
2490005,15,527,657,0.802130898021309
2490005,28,130,657,0.197869101978691
2490005,34,0,657,0.0
2490006,15,2413,2692,0.8963595839524517
2490006,28,279,2692,0.1036404160475483
2490007,15,5779,5779,1.0
2490008,15,6713,7613,0.8817811637987653
2490008,28,392,7613,0.05149087087876002
2490008,34,508,7613,0.06672796532247471
2490009,15,2632,2693,0.9773486817675455
2490009,34,61,2693,0.02265131823245451
2490010,15,5000,5007,0.9986019572598362
2490010,34,7,5007,0.0013980427401637707
2490011,15,1568,1596,0.9824561403508771
2490011,28,28,1596,0.017543859649122806
2490011,34,0,1596,0.0
2490012,15,6249,6249,1.0
2490013,15,2136,2136,1.0
2490014,15,439,512,0.857421875
2490014,28,13,512,0.025390625
2490014,34,60,512,0.1171875
2490015,15,3384,3384,1.0
2490016,15,2814,2814,1.0
2490017,15,2931,3111,0.9421407907425265
2490017,28,160,3111,0.05143040822886532
2490017,34,20,3111,0.006428801028608165
2490018,15,1249,1310,0.9534351145038168
2490018,28,61,1310,0.046564885496183206
2490019,15,1053,1302,0.8087557603686636
2490019,34,249,1302,0.1912442396313364
2490020,15,3024,3024,1.0
2490022,15,3675,3675,1.0
