year,new_district_id,candidate,party,estimated_votes
2016,6,Schneiderman,LIBERTARIAN,893.758627479819
2016,6,Thomas,DEMOCRAT,5862.725845345732
2016,6,Williams,REPUBLICAN,23819.847730308054
2016,17,Schneiderman,LIBERTARIAN,141.21991039596614
2016,17,Thomas,DEMOCRAT,1042.5977472599805
2016,17,Williams,REPUBLICAN,5133.109100180336
2016,25,Schneiderman,LIBERTARIAN,560.021462124215
2016,25,Thomas,DEMOCRAT,3669.6764073942886
2016,25,Williams,REPUBLICAN,15542.04316951161
2018,6,LINDSEY,LIBERTARIAN,425.78568133383953
2018,6,OLIVER,DEMOCRAT,6267.298440219916
2018,6,WILLIAMS,REPUBLICAN,21341.950119251866
2018,17,LINDSEY,LIBERTARIAN,62.04599570844453
2018,17,OLIVER,DEMOCRAT,1113.6054308023722
2018,17,WILLIAMS,REPUBLICAN,4630.075282804401
2018,25,LINDSEY,LIBERTARIAN,246.1683229577159
2018,25,OLIVER,DEMOCRAT,4035.09612897771
2018,25,WILLIAMS,REPUBLICAN,13645.97459794373
2020,6,KELSEY,LIBERTARIAN,616.3150609824559
2020,6,OLIVER,DEMOCRAT,8697.49258129706
2020,6,WILLIAMS,REPUBLICAN,28761.156013438373
2020,17,KELSEY,LIBERTARIAN,123.87772015274174
2020,17,OLIVER,DEMOCRAT,1348.9395621390665
2020,17,WILLIAMS,REPUBLICAN,6227.283708020109
2020,25,KELSEY,LIBERTARIAN,462.8072188648024
2020,25,OLIVER,DEMOCRAT,5269.567856563874
2020,25,WILLIAMS,REPUBLICAN,19350.56027854152
2022,6,ELLZEY,REPUBLICAN,10262.289950958539
2022,6,WILLIAMS,REPUBLICAN,13723.487958746597
2022,17,ELLZEY,REPUBLICAN,525.7100490414616
2022,17,WILLIAMS,REPUBLICAN,4927.427091655406
2022,25,WILLIAMS,REPUBLICAN,16191.084949597995
2024,6,ELLZEY,REPUBLICAN,14176.279684590798
2024,6,HAGG,OTHER,546.5445548362267
2024,6,LOVE,DEMOCRAT,5846.557812915084
2024,6,WILLIAMS,REPUBLICAN,18698.77396675215
2024,17,ELLZEY,REPUBLICAN,736.7203154092026
2024,17,HAGG,OTHER,164.88731585250503
2024,17,LOVE,DEMOCRAT,106.44218708491657
2024,17,WILLIAMS,REPUBLICAN,6586.458277075642
2024,25,HAGG,OTHER,708.5681293112683
2024,25,WILLIAMS,REPUBLICAN,23363.767756172216
