old_precinct_id,new_district_id,fragment_population,precinct_total,weight
2510001,25,3059,3059,1.0
2510002,6,2512,9922,0.2531747631525902
2510002,25,7410,9922,0.7468252368474098
2510003,6,1869,9650,0.19367875647668395
2510003,25,7781,9650,0.806321243523316
2510004,6,1513,9364,0.16157624946604016
2510004,25,7851,9364,0.8384237505339599
2510005,6,6475,7478,0.8658732281358652
2510005,25,1003,7478,0.1341267718641348
2510006,17,334,1618,0.20642768850432633
2510006,25,1284,1618,0.7935723114956736
2510007,6,5809,5970,0.9730318257956448
2510007,25,161,5970,0.02696817420435511
2510008,6,9171,9171,1.0
2510009,6,2188,5621,0.38925458103540295
2510009,17,3433,5621,0.610745418964597
2510010,6,9915,9915,1.0
2510011,6,8802,8802,1.0
2510012,6,11763,14460,0.8134854771784232
2510012,25,2697,14460,0.18651452282157677
2510013,6,6122,7183,0.8522901294723653
2510013,25,1061,7183,0.1477098705276347
2510014,25,1139,1139,1.0
2510015,17,661,3215,0.20559875583203732
2510015,25,2554,3215,0.7944012441679627
2510016,6,14,3393,0.00412614205717654
2510016,17,2913,3393,0.8585322723253758
2510016,25,466,3393,0.1373415856174477
2510017,6,2733,17214,0.15876612059951203
2510017,17,763,17214,0.04432438712675729
2510017,25,13718,17214,0.7969094922737306
2510018,17,3068,13092,0.2343415826458906
2510018,25,10024,13092,0.7656584173541093
2510019,6,23,9749,0.002359216329879988
2510019,17,6441,9749,0.6606831469894349
2510019,25,3285,9749,0.3369576366806852
2510020,6,5265,7883,0.667892934162121
2510020,17,1038,7883,0.13167575796016745
2510020,25,1580,7883,0.20043130787771152
2510021,6,3025,5635,0.5368234250221828
2510021,17,2610,5635,0.4631765749778172
2510022,6,10753,11692,0.9196886760177899
2510022,25,939,11692,0.08031132398221005
2510023,17,5222,5728,0.9116620111731844
2510023,25,506,5728,0.08833798882681564
2510024,6,7412,7412,1.0
2510025,6,4400,4400,1.0
2510026,6,3222,3307,0.9742969458723919
2510026,17,85,3307,0.025703054127608104
2510027,6,4467,7573,0.5898587085699194
2510027,17,3106,7573,0.41014129143008055
2510028,6,5660,5660,1.0
2510029,6,5281,6142,0.8598176489742755
2510029,25,861,6142,0.14018235102572452
2510030,25,6337,6337,1.0
2510031,6,2894,5535,0.5228545618789521
2510031,25,2641,5535,0.47714543812104787
2510032,25,8566,8566,1.0
2510033,25,8993,8993,1.0
2510034,6,6443,8188,0.7868832437713728
2510034,25,1745,8188,0.21311675622862725
2510035,6,10758,10758,1.0
2510036,6,969,6006,0.16133866133866134
2510036,25,5037,6006,0.8386613386613386
2510037,17,4236,5239,0.8085512502385952
2510037,25,1003,5239,0.19144874976140486
2510038,25,5372,5372,1.0
2510039,6,866,7038,0.12304631997726627
2510039,25,6172,7038,0.8769536800227338
2510040,25,6852,6852,1.0
2510041,6,9526,9664,0.9857201986754967
2510041,25,138,9664,0.014279801324503311
2510042,6,10008,10008,1.0
2510043,6,5216,5216,1.0
