year,new_district_id,candidate,party,estimated_votes
2016,15,Gonzalez,DEMOCRAT,29.637741324692044
2016,15,Leone,LIBERTARIAN,1.2566028323927094
2016,15,Tijerina,OTHER,1.2416449259631193
2016,15,Westley,REPUBLICAN,79.1788435411176
2016,28,Gonzalez,DEMOCRAT,0.9168628304117253
2016,28,Leone,LIBERTARIAN,0.06821295858179682
2016,28,Tijerina,OTHER,0.052690921556321914
2016,28,Westley,REPUBLICAN,3.719470582243037
2016,35,Gonzalez,DEMOCRAT,1244.4453958448962
2016,35,Leone,LIBERTARIAN,41.67518420902549
2016,35,Tijerina,OTHER,62.705664152480566
2016,35,Westley,REPUBLICAN,2597.1016858766393
2018,15,CRISTO,LIBERTARIAN,1.150987061254502
2018,15,GONZALEZ,DEMOCRAT,29.942243254301268
2018,15,WESTLEY,REPUBLICAN,75.20058122581996
2018,28,CRISTO,LIBERTARIAN,0.048551875502017255
2018,28,GONZALEZ,DEMOCRAT,0.8977429466911434
2018,28,WESTLEY,REPUBLICAN,3.3749683133525825
2018,35,CRISTO,LIBERTARIAN,46.80046106324348
2018,35,GONZALEZ,DEMOCRAT,1392.1600137990079
2018,35,WESTLEY,REPUBLICAN,2484.4244504608273
2020,15,DE LA CRUZ HERNANDEZ,REPUBLICAN,96.56724164997642
2020,15,GONZALEZ,DEMOCRAT,27.10441388892041
2020,15,LEONE,LIBERTARIAN,1.5536869776093896
2020,28,DE LA CRUZ HERNANDEZ,REPUBLICAN,4.680718833704631
2020,28,GONZALEZ,DEMOCRAT,1.1260731493162053
2020,28,LEONE,LIBERTARIAN,0.08377805444328544
2020,35,DE LA CRUZ HERNANDEZ,REPUBLICAN,3553.752039516319
2020,35,GONZALEZ,DEMOCRAT,1293.7695129617634
2020,35,LEONE,LIBERTARIAN,59.36253496794732
2022,15,DE LA CRUZ,REPUBLICAN,78.04983982900809
2022,15,LEONE,LIBERTARIAN,0.8595192734867118
2022,15,VALLEJO,DEMOCRAT,15.955658123579921
2022,28,DE LA CRUZ,REPUBLICAN,4.061459658642527
2022,28,LEONE,LIBERTARIAN,0.05795229865191842
2022,28,VALLEJO,DEMOCRAT,0.5924115725009621
2022,35,DE LA CRUZ,REPUBLICAN,2866.8887005123493
2022,35,LEONE,LIBERTARIAN,39.08252842786138
2022,35,VALLEJO,DEMOCRAT,711.4519303039192
2024,15,DE LA CRUZ,REPUBLICAN,104.48217656778408
2024,15,VALLEJO,DEMOCRAT,23.99010234875324
2024,28,DE LA CRUZ,REPUBLICAN,5.2275878666136215
2024,28,VALLEJO,DEMOCRAT,0.8174161443692973
2024,35,DE LA CRUZ,REPUBLICAN,3835.2902355656024
2024,35,VALLEJO,DEMOCRAT,989.1924815068774
