old_precinct_id,new_district_id,fragment_population,precinct_total,weight
2550001,35,2902,2902,1.0
2550002,35,334,334,1.0
2550003,15,32,249,0.1285140562248996
2550003,35,217,249,0.8714859437751004
2550004,15,45,4966,0.009061619009262988
2550004,35,4921,4966,0.990938380990737
2550005,15,146,1424,0.10252808988764045
2550005,35,1278,1424,0.8974719101123596
2550006,35,373,373,1.0
2550007,28,6,1052,0.005703422053231939
2550007,35,1046,1052,0.9942965779467681
2550008,15,55,434,0.12672811059907835
2550008,35,379,434,0.8732718894009217
2550009,15,108,491,0.219959266802444
2550009,35,383,491,0.780040733197556
2550010,35,667,667,1.0
2550011,15,24,2467,0.009728415079043373
2550011,28,16,2467,0.0064856100526955816
2550011,35,2427,2467,0.983785974868261
2550012,35,2350,2350,1.0
2550013,28,1,212,0.0047169811320754715
2550013,35,211,212,0.9952830188679245
2550014,15,19,2506,0.007581803671189146
2550014,35,2487,2506,0.9924181963288109
2550015,35,732,732,1.0
