year,new_district_id,candidate,party,estimated_votes
2016,5,Ashby,LIBERTARIAN,4359.757824200834
2016,5,Hensarling,REPUBLICAN,30035.16815696223
2016,6,Ashby,LIBERTARIAN,0.0
2016,6,Hensarling,REPUBLICAN,0.0
2016,32,Ashby,LIBERTARIAN,34.24217579916591
2016,32,Hensarling,REPUBLICAN,224.83184303776954
2018,5,GOODEN,REPUBLICAN,26515.195045085045
2018,5,WOOD,DEMOCRAT,11127.660142668992
2018,6,GOODEN,REPUBLICAN,0.0
2018,6,WOOD,DEMOCRAT,0.0
2018,32,GOODEN,REPUBLICAN,211.80495491495824
2018,32,WOOD,DEMOCRAT,77.33985733100874
2020,5,GOODEN,REPUBLICAN,37827.14371863289
2020,5,HALE,LIBERTARIAN,1205.0647488364316
2020,5,SALTER,DEMOCRAT,16731.24977590822
2020,6,GOODEN,REPUBLICAN,0.0
2020,6,HALE,LIBERTARIAN,0.0
2020,6,SALTER,DEMOCRAT,0.0
2020,32,GOODEN,REPUBLICAN,303.85628136711074
2020,32,HALE,LIBERTARIAN,9.93525116356847
2020,32,SALTER,DEMOCRAT,122.75022409177781
2022,5,GOODEN,REPUBLICAN,28087.849558840906
2022,5,HALE,LIBERTARIAN,906.8747105190683
2022,5,HILL,DEMOCRAT,12973.013058456449
2022,5,TORRES,OTHER,37.78352866199
2022,6,GOODEN,REPUBLICAN,0.0
2022,6,HALE,LIBERTARIAN,0.0
2022,6,HILL,DEMOCRAT,0.0
2022,6,TORRES,OTHER,0.0
2022,32,GOODEN,REPUBLICAN,227.15044115909456
2022,32,HALE,LIBERTARIAN,6.1252894809316665
2022,32,HILL,DEMOCRAT,76.98694154355128
2022,32,TORRES,OTHER,0.21647133801000087
2024,5,GOODEN,REPUBLICAN,43149.47374507325
2024,5,TORRES,DEMOCRAT,23591.962500520447
2024,6,GOODEN,REPUBLICAN,0.0
2024,6,TORRES,DEMOCRAT,0.0
2024,32,GOODEN,REPUBLICAN,341.5262549267469
2024,32,TORRES,DEMOCRAT,144.03749947955043
