old_precinct_id,new_district_id,fragment_population,precinct_total,weight
2570001,5,8156,8156,1.0
2570002,5,5912,5912,1.0
2570003,5,7184,7184,1.0
2570004,5,6594,6594,1.0
2570005,5,7102,7102,1.0
2570006,5,4607,5170,0.8911025145067698
2570006,32,563,5170,0.10889748549323017
2570007,5,8335,8573,0.9722384229557914
2570007,32,238,8573,0.027761577044208563
2570008,5,5837,5837,1.0
2570009,5,3810,3810,1.0
2570010,5,5863,5863,1.0
2570010,6,0,5863,0.0
2570011,5,6770,6770,1.0
2570012,5,4708,4708,1.0
2570012,6,0,4708,0.0
2570013,5,11312,11312,1.0
2570014,5,6622,6626,0.9993963175369756
2570014,32,4,6626,0.0006036824630244491
2570015,5,8659,8659,1.0
2570016,5,5856,5856,1.0
2570017,5,2277,2277,1.0
2570017,6,0,2277,0.0
2570018,5,6591,6591,1.0
2570019,5,6483,6483,1.0
2570020,5,4789,5314,0.9012043658261197
2570020,32,525,5314,0.09879563417388032
2570021,5,7897,7897,1.0
2570022,5,4309,4309,1.0
2570023,5,5661,5661,1.0
2570024,5,3575,3575,1.0
2570025,5,4015,4015,1.0
2570026,5,6337,6337,1.0
2570027,5,7779,7779,1.0
2570028,5,4160,4160,1.0
2570029,5,7068,7068,1.0
2570030,5,6883,6883,1.0
2570030,6,0,6883,0.0
2570031,5,3507,3507,1.0
2570032,5,5734,5734,1.0
2570033,5,3288,3288,1.0
2570034,5,7556,7556,1.0
2570035,5,10352,10377,0.9975908258648936
2570035,32,25,10377,0.0024091741351064855
2570036,5,7922,8234,0.9621083313092057
2570036,32,312,8234,0.037891668690794265
2570037,5,7315,7315,1.0
