year,new_district_id,candidate,party,estimated_votes
2016,21,Diaz,OTHER,206.8785193191332
2016,21,Loewe,LIBERTARIAN,695.1383888915334
2016,21,Smith,REPUBLICAN,15645.91363374429
2016,21,Wakely,DEMOCRAT,2914.7017486482628
2016,23,Diaz,OTHER,4.121480680866792
2016,23,Loewe,LIBERTARIAN,13.861611108466594
2016,23,Smith,REPUBLICAN,358.08636625570864
2016,23,Wakely,DEMOCRAT,63.298251351737306
2018,21,KOPSER,DEMOCRAT,4097.767718077019
2018,21,ROY,REPUBLICAN,14842.53765650332
2018,21,SANTOS,LIBERTARIAN,279.8001403958749
2018,23,KOPSER,DEMOCRAT,90.23228192298107
2018,23,ROY,REPUBLICAN,348.46234349668055
2018,23,SANTOS,LIBERTARIAN,6.1998596041250735
2020,21,DAVIS,DEMOCRAT,5397.716146800162
2020,21,DIBIANCA,LIBERTARIAN,356.52691588060077
2020,21,ROY,REPUBLICAN,19787.351983811597
2020,21,WAKELY,OTHER,134.57087542924222
2020,23,DAVIS,DEMOCRAT,140.28385319983775
2020,23,DIBIANCA,LIBERTARIAN,8.473084119399232
2020,23,ROY,REPUBLICAN,514.6480161884007
2020,23,WAKELY,OTHER,4.429124570757798
2022,21,ROY,REPUBLICAN,17430.425023003783
2022,21,ZAPATA,DEMOCRAT,4306.876958128398
2022,23,ROY,REPUBLICAN,478.5749769962151
2022,23,ZAPATA,DEMOCRAT,118.12304187160233
2024,21,HOOK,DEMOCRAT,5687.293539310979
2024,21,KING,LIBERTARIAN,491.8006330504608
2024,21,ROY,REPUBLICAN,22033.14749014746
2024,23,HOOK,DEMOCRAT,154.7064606890212
2024,23,KING,LIBERTARIAN,13.199366949539176
2024,23,ROY,REPUBLICAN,599.8525098525391
