old_precinct_id,new_district_id,fragment_population,precinct_total,weight
2591010,21,7683,7683,1.0
2591030,21,2558,2558,1.0
2591050,21,4619,4870,0.9484599589322382
2591050,23,251,4870,0.051540041067761805
2591110,21,7030,8500,0.8270588235294117
2591110,23,1470,8500,0.17294117647058824
2592020,21,7241,7241,1.0
2592060,21,6329,6329,1.0
2592080,21,3996,4684,0.8531169940222032
2592080,23,688,4684,0.14688300597779674
2592120,21,8484,8484,1.0
2593010,21,6564,6564,1.0
2593030,21,5247,5247,1.0
2593040,21,4746,4746,1.0
2593050,21,5582,5582,1.0
2593060,21,2242,2242,1.0
2594050,21,4479,4479,1.0
2594070,21,3612,3612,1.0
2594090,21,5942,5942,1.0
2594100,21,6393,6393,1.0
