year,new_district_id,candidate,party,estimated_votes
2016,15,Gonzalez,REPUBLICAN,1.8688028389520928
2016,15,Vela,DEMOCRAT,2.249138920780712
2016,34,Gonzalez,REPUBLICAN,63.13119716104791
2016,34,Vela,DEMOCRAT,99.75086107921929
2018,15,GONZALEZ,REPUBLICAN,1.6338586786347982
2018,15,VELA,DEMOCRAT,2.3947395887694394
2018,34,GONZALEZ,REPUBLICAN,62.366141321365205
2018,34,VELA,DEMOCRAT,91.60526041123056
2020,15,CRISTO,LIBERTARIAN,0.055944055944055944
2020,15,GONZALEZ,REPUBLICAN,1.7681870368437533
2020,15,ROYAL,OTHER,0.08955223880597014
2020,15,VELA,DEMOCRAT,2.1261872455902306
2020,34,CRISTO,LIBERTARIAN,1.9440559440559442
2020,34,GONZALEZ,REPUBLICAN,73.23181296315624
2020,34,ROYAL,OTHER,1.9104477611940298
2020,34,VELA,DEMOCRAT,86.87381275440977
2022,15,FLORES,REPUBLICAN,2.2160526041123054
2022,15,GONZALEZ,DEMOCRAT,0.7497129735935706
2022,15,ROYAL,OTHER,0.11188811188811189
2022,34,FLORES,REPUBLICAN,101.7839473958877
2022,34,GONZALEZ,DEMOCRAT,34.25028702640643
2022,34,ROYAL,OTHER,3.8881118881118883
2024,15,FLORES,REPUBLICAN,2.4621647009706713
2024,15,GONZALEZ,DEMOCRAT,0.6714330445673728
2024,34,FLORES,REPUBLICAN,95.53783529902933
2024,34,GONZALEZ,DEMOCRAT,39.32856695543263
