year,new_district_id,candidate,party,estimated_votes
2016,11,Diaz,OTHER,1.1432702621316457
2016,11,Loewe,LIBERTARIAN,5.380716102833525
2016,11,Smith,REPUBLICAN,142.68006415564852
2016,11,Wakely,DEMOCRAT,19.11911927396365
2016,21,Diaz,OTHER,323.85672973786836
2016,21,Loewe,LIBERTARIAN,887.6112266008371
2016,21,Smith,REPUBLICAN,17615.852612657243
2016,21,Wakely,DEMOCRAT,4003.8405942443887
2016,23,Diaz,OTHER,0.0
2016,23,Loewe,LIBERTARIAN,0.008057296329453895
2016,23,Smith,REPUBLICAN,0.46732318710832593
2016,23,Wakely,DEMOCRAT,0.04028648164726947
2018,11,KOPSER,DEMOCRAT,24.375807596079994
2018,11,ROY,REPUBLICAN,140.94531555567764
2018,11,SANTOS,LIBERTARIAN,1.643415849345853
2018,21,KOPSER,DEMOCRAT,5187.586591687716
2018,21,ROY,REPUBLICAN,16397.614218911644
2018,21,SANTOS,LIBERTARIAN,286.35658415065416
2018,23,KOPSER,DEMOCRAT,0.03760071620411817
2018,23,ROY,REPUBLICAN,0.44046553267681293
2018,23,SANTOS,LIBERTARIAN,0.0
2020,11,DAVIS,DEMOCRAT,30.132866606421537
2020,11,DIBIANCA,LIBERTARIAN,2.614371781061169
2020,11,ROY,REPUBLICAN,179.6389340325839
2020,11,WAKELY,OTHER,0.825621960322855
2020,21,DAVIS,DEMOCRAT,6066.8161038501585
2020,21,DIBIANCA,LIBERTARIAN,403.3802566880525
2020,21,ROY,REPUBLICAN,20512.74871144638
2020,21,WAKELY,OTHER,214.17169227423398
2020,23,DAVIS,DEMOCRAT,0.051029543419874666
2020,23,DIBIANCA,LIBERTARIAN,0.005371530886302597
2020,23,ROY,REPUBLICAN,0.612354521038496
2020,23,WAKELY,OTHER,0.0026857654431512983
2022,11,ROY,REPUBLICAN,165.66514949644295
2022,11,ZAPATA,DEMOCRAT,23.169760023357586
2022,21,ROY,REPUBLICAN,17545.77889705682
2022,21,ZAPATA,DEMOCRAT,4531.7953250258815
2022,23,ROY,REPUBLICAN,0.5559534467323187
2022,23,ZAPATA,DEMOCRAT,0.03491495076096688
2024,11,HOOK,DEMOCRAT,30.14616786533202
2024,11,KING,LIBERTARIAN,4.044789720580407
2024,11,ROY,REPUBLICAN,196.2086937444678
2024,21,HOOK,DEMOCRAT,5894.794745294918
2024,21,KING,LIBERTARIAN,486.9390956867607
2024,21,ROY,REPUBLICAN,21189.152094080062
2024,23,HOOK,DEMOCRAT,0.05908683974932856
2024,23,KING,LIBERTARIAN,0.01611459265890779
2024,23,ROY,REPUBLICAN,0.639212175470009
