year,new_district_id,candidate,party,estimated_votes
2016,11,Conaway,REPUBLICAN,1680.3193540789105
2016,11,Landholt,LIBERTARIAN,105.13926179774276
2016,21,Conaway,REPUBLICAN,33.29100925354322
2016,21,Landholt,LIBERTARIAN,1.3941683069462596
2016,23,Conaway,REPUBLICAN,7.389636667546407
2016,23,Landholt,LIBERTARIAN,0.4665698953109879
2018,11,CONAWAY,REPUBLICAN,1482.7250240508138
2018,11,LEEDER,DEMOCRAT,166.31989511646174
2018,11,SMITH,LIBERTARIAN,19.42951752678411
2018,21,CONAWAY,REPUBLICAN,30.702397432427098
2018,21,LEEDER,DEMOCRAT,3.0226314956610834
2018,21,SMITH,LIBERTARIAN,0.44155663526392264
2018,23,CONAWAY,REPUBLICAN,6.572578516759039
2018,23,LEEDER,DEMOCRAT,0.6574733878771883
2018,23,SMITH,LIBERTARIAN,0.12892583795196622
2020,11,CODY,LIBERTARIAN,38.7497005671504
2020,11,HOGG,DEMOCRAT,226.4576078187768
2020,11,PFLUGER,REPUBLICAN,1918.0716467947361
2020,21,CODY,LIBERTARIAN,1.0437365754553931
2020,21,HOGG,DEMOCRAT,3.74099339526383
2020,21,PFLUGER,REPUBLICAN,36.438954067408645
2020,23,CODY,LIBERTARIAN,0.20656285739421132
2020,23,HOGG,DEMOCRAT,0.8013987859593561
2020,23,PFLUGER,REPUBLICAN,8.489399137855195
2022,11,PFLUGER,REPUBLICAN,1625.6893366596942
2022,21,PFLUGER,REPUBLICAN,33.896174029142074
2022,23,PFLUGER,REPUBLICAN,7.414489311163896
2024,11,PFLUGER,REPUBLICAN,2103.9738468163087
2024,21,PFLUGER,REPUBLICAN,47.03173953013297
2024,23,PFLUGER,REPUBLICAN,9.994413653558547
