year,new_district_id,candidate,party,estimated_votes
2016,23,Corvalan,LIBERTARIAN,38.0
2016,23,Gallego,DEMOCRAT,461.0
2016,23,Hurd,REPUBLICAN,906.0
2018,23,CORVALAN,LIBERTARIAN,32.0
2018,23,HURD,REPUBLICAN,820.0
2018,23,ORTIZ JONES,DEMOCRAT,337.0
2020,23,GONZALES,REPUBLICAN,1088.0
2020,23,ORTIZ JONES,DEMOCRAT,420.0
2020,23,VILLELA,LIBERTARIAN,41.0
2022,23,GONZALES,REPUBLICAN,732.0
2022,23,LIRA,DEMOCRAT,199.0
2022,23,LOPEZ,OTHER,213.0
2024,23,GONZALES,REPUBLICAN,1037.0
2024,23,LIMON,DEMOCRAT,275.0
