year,new_district_id,candidate,party,estimated_votes
2016,15,Gonzalez,REPUBLICAN,8.556584591272788
2016,15,Vela,DEMOCRAT,7.137734059226265
2016,27,Gonzalez,REPUBLICAN,0.0
2016,27,Vela,DEMOCRAT,0.0
2016,34,Gonzalez,REPUBLICAN,4449.443415408727
2016,34,Vela,DEMOCRAT,4750.862265940774
2018,15,GONZALEZ,REPUBLICAN,9.316641920316755
2018,15,VELA,DEMOCRAT,5.970758063185681
2018,27,GONZALEZ,REPUBLICAN,0.0
2018,27,VELA,DEMOCRAT,0.0
2018,34,GONZALEZ,REPUBLICAN,3958.6833580796833
2018,34,VELA,DEMOCRAT,4373.029241936814
2020,15,CRISTO,LIBERTARIAN,0.11714097170667327
2020,15,GONZALEZ,REPUBLICAN,11.20405633918997
2020,15,ROYAL,OTHER,0.19509197393384475
2020,15,VELA,DEMOCRAT,7.201239379691496
2020,27,CRISTO,LIBERTARIAN,0.0
2020,27,GONZALEZ,REPUBLICAN,0.0
2020,27,ROYAL,OTHER,0.0
2020,27,VELA,DEMOCRAT,0.0
2020,34,CRISTO,LIBERTARIAN,150.88285902829332
2020,34,GONZALEZ,REPUBLICAN,5152.79594366081
2020,34,ROYAL,OTHER,110.80490802606616
2020,34,VELA,DEMOCRAT,5321.798760620309
2022,15,FLORES,REPUBLICAN,10.120120569106493
2022,15,GONZALEZ,DEMOCRAT,4.358175440180204
2022,15,ROYAL,OTHER,0.3760520529048438
2022,27,FLORES,REPUBLICAN,0.0
2022,27,GONZALEZ,DEMOCRAT,0.0
2022,27,ROYAL,OTHER,0.0
2022,34,FLORES,REPUBLICAN,4029.8798794308937
2022,34,GONZALEZ,DEMOCRAT,3308.6418245598197
2022,34,ROYAL,OTHER,172.62394794709516
2024,15,FLORES,REPUBLICAN,13.640909148611156
2024,15,GONZALEZ,DEMOCRAT,5.555806937096158
2024,27,FLORES,REPUBLICAN,0.0
2024,27,GONZALEZ,DEMOCRAT,0.0
2024,34,FLORES,REPUBLICAN,5677.359090851389
2024,34,GONZALEZ,DEMOCRAT,4178.444193062904
