old_precinct_id,new_district_id,fragment_population,precinct_total,weight
2730011,34,2736,2736,1.0
2730012,34,3905,3905,1.0
2730013,34,2509,2509,1.0
2730014,34,4259,4259,1.0
2730021,34,4107,4107,1.0
2730022,34,2412,2412,1.0
2730023,34,1261,1261,1.0
2730024,15,0,4463,0.0
2730024,34,4463,4463,1.0
2730031,34,6479,6479,1.0
2730032,34,1874,1874,1.0
2730033,15,0,1946,0.0
2730033,34,1946,1946,1.0
2730034,15,19,1579,0.012032932235592146
2730034,34,1560,1579,0.9879670677644079
2730035,15,35,2245,0.015590200445434299
2730035,34,2210,2245,0.9844097995545658
2730041,34,3609,3609,1.0
2730042,27,0,2500,0.0
2730042,34,2500,2500,1.0
2730043,34,2975,2975,1.0
2730044,34,1569,1569,1.0
