year,new_district_id,candidate,party,estimated_votes
2016,13,DeWeese,LIBERTARIAN,72.40806007744868
2016,13,Thornberry,REPUBLICAN,1116.0863242870444
2016,13,Tomlinson,OTHER,14.912724497497987
2016,19,DeWeese,LIBERTARIAN,0.5919399225513164
2016,19,Thornberry,REPUBLICAN,7.9136757129556035
2016,19,Tomlinson,OTHER,0.0872755025020131
2018,13,DEWEESE,LIBERTARIAN,7.9296736500403595
2018,13,SAGAN,DEMOCRAT,202.48953938427388
2018,13,THORNBERRY,REPUBLICAN,863.9527061195331
2018,19,DEWEESE,LIBERTARIAN,0.07032634995964021
2018,19,SAGAN,DEMOCRAT,1.510460615726093
2018,19,THORNBERRY,REPUBLICAN,6.047293880466963
2020,13,JACKSON,REPUBLICAN,1136.871307577896
2020,13,TRUJILLO,DEMOCRAT,249.19670388061456
2020,13,WESTBROOK,LIBERTARIAN,16.824387925847738
2020,19,JACKSON,REPUBLICAN,8.128692422103805
2020,19,TRUJILLO,DEMOCRAT,1.8032961193854378
2020,19,WESTBROOK,LIBERTARIAN,0.17561207415226138
2022,13,BROWN,DEMOCRAT,145.8221003042092
2022,13,JACKSON,REPUBLICAN,865.4415088442295
2022,19,BROWN,DEMOCRAT,1.1778996957908106
2022,19,JACKSON,REPUBLICAN,6.5584911557706285
2024,13,JACKSON,REPUBLICAN,1106.6120913689915
2024,19,JACKSON,REPUBLICAN,8.387908631008544
