year,new_district_id,candidate,party,estimated_votes
2016,23,Corvalan,LIBERTARIAN,0.2623143134115948
2016,23,Gallego,DEMOCRAT,3.0177697616282613
2016,23,Hurd,REPUBLICAN,3.412695576796461
2016,28,Cary,OTHER,5.0
2016,28,Corvalan,LIBERTARIAN,65.7376856865884
2016,28,Cuellar,DEMOCRAT,173.0
2016,28,Gallego,DEMOCRAT,964.9822302383717
2016,28,Hardin,REPUBLICAN,51.0
2016,28,Hurd,REPUBLICAN,645.5873044232035
2018,23,CORVALAN,LIBERTARIAN,0.05556240898527175
2018,23,HURD,REPUBLICAN,3.0491995903066984
2018,23,ORTIZ JONES,DEMOCRAT,2.4118708019788926
2018,28,CORVALAN,LIBERTARIAN,13.944437591014728
2018,28,CUELLAR,DEMOCRAT,165.0
2018,28,HURD,REPUBLICAN,567.9508004096933
2018,28,ORTIZ JONES,DEMOCRAT,693.5881291980211
2018,28,THOMAS,LIBERTARIAN,14.0
2020,23,GONZALES,REPUBLICAN,4.6240723037877745
2020,23,ORTIZ JONES,DEMOCRAT,3.4643425383138013
2020,23,VILLELA,LIBERTARIAN,0.1597872552086075
2020,28,CONGDON,LIBERTARIAN,5.0
2020,28,CUELLAR,DEMOCRAT,185.0
2020,28,GONZALES,REPUBLICAN,937.3759276962121
2020,28,ORTIZ JONES,DEMOCRAT,960.5356574616862
2020,28,VILLELA,LIBERTARIAN,48.840212744791394
2020,28,WHITTEN,REPUBLICAN,109.0
2022,23,GONZALES,REPUBLICAN,3.458502456832472
2022,23,LIRA,DEMOCRAT,1.5361035459757106
2022,23,LOPEZ,OTHER,0.11804909572503484
2022,28,GONZALES,REPUBLICAN,767.5414975431676
2022,28,LIRA,DEMOCRAT,550.4638964540243
2022,28,LOPEZ,OTHER,35.881950904274966
2024,23,GONZALES,REPUBLICAN,4.694261216028863
2024,23,LIMON,DEMOCRAT,2.022212353806497
2024,28,GONZALES,REPUBLICAN,1249.305738783971
2024,28,LIMON,DEMOCRAT,692.9777876461935
