year,new_district_id,candidate,party,estimated_votes
2016,11,Schneiderman,LIBERTARIAN,0.0
2016,11,Thomas,DEMOCRAT,0.0
2016,11,Williams,REPUBLICAN,0.0
2016,31,Schneiderman,LIBERTARIAN,285.0
2016,31,Thomas,DEMOCRAT,1436.0
2016,31,Williams,REPUBLICAN,6410.0
2018,11,LINDSEY,LIBERTARIAN,0.0
2018,11,OLIVER,DEMOCRAT,0.0
2018,11,WILLIAMS,REPUBLICAN,0.0
2018,31,LINDSEY,LIBERTARIAN,105.0
2018,31,OLIVER,DEMOCRAT,1502.0
2018,31,WILLIAMS,REPUBLICAN,5860.0
2020,11,KELSEY,LIBERTARIAN,0.0
2020,11,OLIVER,DEMOCRAT,0.0
2020,11,WILLIAMS,REPUBLICAN,0.0
2020,31,KELSEY,LIBERTARIAN,210.0
2020,31,OLIVER,DEMOCRAT,1979.0
2020,31,WILLIAMS,REPUBLICAN,8109.0
2022,11,PFLUGER,REPUBLICAN,0.0
2022,31,PFLUGER,REPUBLICAN,6831.0
2024,11,PFLUGER,REPUBLICAN,0.0
2024,31,PFLUGER,REPUBLICAN,9045.0
