year,new_district_id,candidate,party,estimated_votes
2016,15,Barrera,DEMOCRAT,1176.1220526469765
2016,15,Farenthold,REPUBLICAN,7108.513187735043
2016,27,Barrera,DEMOCRAT,20.877947353023472
2016,27,Farenthold,REPUBLICAN,161.48681226495734
2018,15,CLOUD,REPUBLICAN,6543.507893134187
2018,15,DUERR,OTHER,34.24803153081685
2018,15,HOLGUIN,DEMOCRAT,898.744966548477
2018,15,TINUS,LIBERTARIAN,31.297335206171294
2018,27,CLOUD,REPUBLICAN,155.492106865814
2018,27,DUERR,OTHER,0.7519684691831474
2018,27,HOLGUIN,DEMOCRAT,21.255033451522955
2018,27,TINUS,LIBERTARIAN,0.7026647938287065
2020,15,CLOUD,REPUBLICAN,8583.464302271372
2020,15,DE LA FUENTE,DEMOCRAT,1094.0215479469798
2020,15,GRAY,LIBERTARIAN,92.08233968113551
2020,27,CLOUD,REPUBLICAN,199.5356977286292
2020,27,DE LA FUENTE,DEMOCRAT,23.97845205302013
2020,27,GRAY,LIBERTARIAN,1.9176603188644976
2022,15,CLOUD,REPUBLICAN,7212.807688418414
2022,15,PEREZ,DEMOCRAT,739.6551868240599
2022,27,CLOUD,REPUBLICAN,184.19231158158522
2022,27,PEREZ,DEMOCRAT,18.344813175940008
2024,15,CLOUD,REPUBLICAN,8883.221277933733
2024,15,LLOYD,DEMOCRAT,1112.322068570304
2024,27,CLOUD,REPUBLICAN,222.77872206626694
2024,27,LLOYD,DEMOCRAT,26.677931429696077
