year,new_district_id,candidate,party,estimated_votes
2016,10,Cadien,DEMOCRAT,782.2293498371565
2016,10,Flores,REPUBLICAN,1397.3430395319228
2016,10,Kelsey,LIBERTARIAN,83.89350904772645
2016,10,Matta,DEMOCRAT,362.4042475256465
2016,10,McCaul,REPUBLICAN,3155.332649876254
2016,10,Patterson,LIBERTARIAN,94.01379569757884
2016,17,Flores,REPUBLICAN,105.94608027247828
2016,17,Matta,DEMOCRAT,28.269346606382864
2016,17,Patterson,LIBERTARIAN,7.054663960122854
2016,27,Cadien,DEMOCRAT,40.77065016284346
2016,27,Flores,REPUBLICAN,36.710880195599024
2016,27,Kelsey,LIBERTARIAN,4.106490952273544
2016,27,Matta,DEMOCRAT,11.32640586797066
2016,27,McCaul,REPUBLICAN,188.66735012374616
2016,27,Patterson,LIBERTARIAN,2.9315403422982884
2018,10,CHURCHMAN,LIBERTARIAN,42.379229837218745
2018,10,FLORES,REPUBLICAN,1326.4160671976506
2018,10,KENNEDY,DEMOCRAT,354.4811600919678
2018,10,MCCAUL,REPUBLICAN,2836.862693706203
2018,10,RYAN,LIBERTARIAN,41.42159607741482
2018,10,SIEGEL,DEMOCRAT,780.7730799712219
2018,17,CHURCHMAN,LIBERTARIAN,3.288251825372941
2018,17,FLORES,REPUBLICAN,97.9384560297335
2018,17,KENNEDY,DEMOCRAT,28.05918220632071
2018,27,CHURCHMAN,LIBERTARIAN,1.332518337408313
2018,27,FLORES,REPUBLICAN,34.645476772616135
2018,27,KENNEDY,DEMOCRAT,11.459657701711492
2018,27,MCCAUL,REPUBLICAN,170.1373062937971
2018,27,RYAN,LIBERTARIAN,1.5784039225851787
2018,27,SIEGEL,DEMOCRAT,40.22692002877802
2020,10,BROWN,LIBERTARIAN,57.43391041945776
2020,10,ERIKSEN,LIBERTARIAN,62.618259553110846
2020,10,KENNEDY,DEMOCRAT,448.5223126549453
2020,10,MCCAUL,REPUBLICAN,3934.4344022062623
2020,10,SESSIONS,REPUBLICAN,1898.8145076918559
2020,10,SIEGEL,DEMOCRAT,1066.5341526354812
2020,17,BROWN,LIBERTARIAN,4.100319409393088
2020,17,KENNEDY,DEMOCRAT,35.819985633563284
2020,17,SESSIONS,REPUBLICAN,141.6158101565549
2020,27,BROWN,LIBERTARIAN,1.4657701711491442
2020,27,ERIKSEN,LIBERTARIAN,3.3817404468891525
2020,27,KENNEDY,DEMOCRAT,14.657701711491443
2020,27,MCCAUL,REPUBLICAN,229.56559779373714
2020,27,SESSIONS,REPUBLICAN,49.56968215158924
2020,27,SIEGEL,DEMOCRAT,53.46584736451877
2022,10,KELSEY,LIBERTARIAN,94.15334805435283
2022,10,MCCAUL,REPUBLICAN,4799.205987312484
2022,10,NUNO,DEMOCRAT,927.6466301176716
2022,17,KELSEY,LIBERTARIAN,1.8196446756909697
2022,17,MCCAUL,REPUBLICAN,66.21087287082273
2022,17,NUNO,DEMOCRAT,9.677436529658998
2022,27,KELSEY,LIBERTARIAN,5.027007269956202
2022,27,MCCAUL,REPUBLICAN,261.5831398166932
2022,27,NUNO,DEMOCRAT,54.67593335266931
2024,10,BOISSEAU,DEMOCRAT,1352.6264603748193
2024,10,MCCAUL,REPUBLICAN,6176.290722025677
2024,10,MILLER,LIBERTARIAN,146.48250762811966
2024,17,BOISSEAU,DEMOCRAT,12.57352546536343
2024,17,MCCAUL,REPUBLICAN,83.6178255546019
2024,17,MILLER,LIBERTARIAN,1.734211930567692
2024,27,BOISSEAU,DEMOCRAT,76.80001415981732
2024,27,MCCAUL,REPUBLICAN,339.0914524197211
2024,27,MILLER,LIBERTARIAN,8.783280441312645
