old_precinct_id,new_district_id,fragment_population,precinct_total,weight
2870101,10,5226,5398,0.9681363467951093
2870101,27,172,5398,0.0318636532048907
2870102,10,599,763,0.7850589777195282
2870102,27,164,763,0.21494102228047182
2870103,10,712,712,1.0
2870201,10,1191,1355,0.8789667896678967
2870201,27,164,1355,0.12103321033210332
2870202,10,4306,4584,0.9393542757417103
2870202,27,278,4584,0.0606457242582897
2870203,10,1031,1231,0.8375304630381804
2870203,27,200,1231,0.16246953696181965
2870301,10,760,872,0.8715596330275229
2870301,17,112,872,0.12844036697247707
2870302,10,3729,3860,0.9660621761658031
2870302,17,131,3860,0.03393782383419689
2870303,10,2688,3272,0.8215158924205379
2870303,17,366,3272,0.11185819070904646
2870303,27,218,3272,0.06662591687041565
2870304,10,1394,1580,0.8822784810126583
2870304,27,186,1580,0.11772151898734177
2870401,10,1733,1733,1.0
2870402,10,669,669,1.0
2870403,10,1147,1147,1.0
2870404,10,3096,3096,1.0
2870405,10,1848,1929,0.9580093312597201
2870405,17,81,1929,0.041990668740279936
