year,new_district_id,candidate,party,estimated_votes
2016,5,Flores,REPUBLICAN,0.5638297872340425
2016,5,Matta,DEMOCRAT,0.18693009118541035
2016,5,Patterson,LIBERTARIAN,0.02127659574468085
2016,10,Flores,REPUBLICAN,3106.843274153906
2016,10,Matta,DEMOCRAT,403.187541592867
2016,10,Patterson,LIBERTARIAN,94.77374788115365
2016,17,Flores,REPUBLICAN,200.59289605886025
2016,17,Matta,DEMOCRAT,28.625528315947577
2016,17,Patterson,LIBERTARIAN,5.204975523101662
2018,5,CHURCHMAN,LIBERTARIAN,0.007598784194528876
2018,5,FLORES,REPUBLICAN,0.5212765957446809
2018,5,KENNEDY,DEMOCRAT,0.1656534954407295
2018,10,BRADY,REPUBLICAN,2724.9128325942347
2018,10,CHURCHMAN,LIBERTARIAN,35.978068207792575
2018,10,DAVID,DEMOCRAT,360.66297117516626
2018,10,DUNCAN,LIBERTARIAN,20.905764966740577
2018,10,FLORES,REPUBLICAN,2740.7179132956435
2018,10,KENNEDY,DEMOCRAT,366.99384330685126
2018,17,BRADY,REPUBLICAN,78.08716740576497
2018,17,CHURCHMAN,LIBERTARIAN,2.0143330080128967
2018,17,DAVID,DEMOCRAT,10.337028824833702
2018,17,DUNCAN,LIBERTARIAN,0.0942350332594235
2018,17,FLORES,REPUBLICAN,176.7608101086114
2018,17,KENNEDY,DEMOCRAT,26.84050319770801
2020,5,BROWN,LIBERTARIAN,0.013677811550151976
2020,5,KENNEDY,DEMOCRAT,0.22492401215805471
2020,5,SESSIONS,REPUBLICAN,0.6595744680851063
2020,10,BRADY,REPUBLICAN,3479.2288433111607
2020,10,BROWN,LIBERTARIAN,68.70322115208091
2020,10,DUNCAN,LIBERTARIAN,39.22154471544715
2020,10,HERNANDEZ,DEMOCRAT,431.79642461197335
2020,10,KENNEDY,DEMOCRAT,494.6899802146295
2020,10,SESSIONS,REPUBLICAN,3635.5000365480796
2020,17,BRADY,REPUBLICAN,99.77115668883961
2020,17,BROWN,LIBERTARIAN,3.2831010363689446
2020,17,DUNCAN,LIBERTARIAN,0.7784552845528455
2020,17,HERNANDEZ,DEMOCRAT,11.203575388026607
2020,17,KENNEDY,DEMOCRAT,36.085095773212416
2020,17,SESSIONS,REPUBLICAN,238.840388983835
2022,5,SESSIONS,REPUBLICAN,0.621580547112462
2022,5,WOODS,DEMOCRAT,0.1641337386018237
2022,10,SESSIONS,REPUBLICAN,5834.612898275329
2022,10,WOODS,DEMOCRAT,650.0861053084893
2022,17,SESSIONS,REPUBLICAN,275.7655211775584
2022,17,WOODS,DEMOCRAT,30.749760952908957
2024,5,LORENZEN,DEMOCRAT,0.1899696048632219
2024,5,SESSIONS,REPUBLICAN,0.8130699088145896
2024,10,LORENZEN,DEMOCRAT,903.1325453223602
2024,10,SESSIONS,REPUBLICAN,7540.722550735142
2024,17,LORENZEN,DEMOCRAT,43.677485072776676
2024,17,SESSIONS,REPUBLICAN,358.46437935604337
