old_precinct_id,new_district_id,fragment_population,precinct_total,weight
2890001,10,3099,3099,1.0
2890002,10,941,941,1.0
2890003,10,1044,1044,1.0
2890004,10,1425,1584,0.8996212121212122
2890004,17,159,1584,0.10037878787878787
2890005,10,1021,1021,1.0
2890006,10,1719,1804,0.9528824833702882
2890006,17,85,1804,0.04711751662971175
2890007,10,1208,1501,0.8047968021319121
2890007,17,293,1501,0.19520319786808793
2890008,10,2136,2365,0.9031712473572938
2890008,17,229,2365,0.09682875264270613
2890009,10,864,864,1.0
2890010,10,2531,2657,0.9525780955965375
2890010,17,126,2657,0.04742190440346255
2890011,10,2588,2644,0.9788199697428139
2890011,17,56,2644,0.02118003025718608
2890012,5,2,1316,0.001519756838905775
2890012,10,1181,1316,0.8974164133738601
2890012,17,133,1316,0.10106382978723404
2890013,10,1860,1860,1.0
2890014,10,706,706,1.0
