old_precinct_id,new_district_id,fragment_population,precinct_total,weight
2910001,9,1956,2142,0.9131652661064426
2910001,10,113,2142,0.052754435107376284
2910001,36,73,2142,0.034080298786181136
2910002,9,2878,2940,0.9789115646258504
2910002,36,62,2940,0.02108843537414966
2910003,9,5755,5755,1.0
2910004,9,981,1059,0.9263456090651558
2910004,36,78,1059,0.07365439093484419
2910005,9,5434,5434,1.0
2910006,9,3424,4550,0.7525274725274725
2910006,36,1126,4550,0.24747252747252746
2910007,9,5406,5467,0.9888421437717212
2910007,10,61,5467,0.011157856228278763
2910008,9,5053,5227,0.9667113066768701
2910008,10,174,5227,0.0332886933231299
2910009,9,6439,6439,1.0
2910010,9,7469,7469,1.0
2910011,9,1358,1371,0.9905178701677607
2910011,36,13,1371,0.009482129832239242
2910012,2,265,3866,0.0685463010863942
2910012,9,2978,3866,0.7703052250387998
2910012,10,623,3866,0.161148473874806
2910013,9,1239,1252,0.9896166134185304
2910013,36,13,1252,0.010383386581469648
2910014,2,542,7451,0.07274191383706885
2910014,9,6909,7451,0.9272580861629311
2910015,9,845,976,0.8657786885245902
2910015,10,104,976,0.10655737704918032
2910015,36,27,976,0.027663934426229508
2910016,9,1796,1921,0.9349297241020302
2910016,10,125,1921,0.0650702758979698
2910017,9,1227,1313,0.9345011424219345
2910017,36,86,1313,0.0654988575780655
2910018,9,4186,4186,1.0
2910019,9,4987,4987,1.0
2910020,9,2741,2802,0.9782298358315489
2910020,10,61,2802,0.021770164168451105
2910021,9,6183,6183,1.0
2910022,9,11458,11819,0.9694559607411795
2910022,36,361,11819,0.030544039258820543
2910023,2,1816,17069,0.10639170425918332
2910023,9,15253,17069,0.8936082957408167
2910024,9,3763,5670,0.663668430335097
2910024,36,1907,5670,0.336331569664903
2910025,2,182,5395,0.033734939759036145
2910025,9,5213,5395,0.9662650602409638
2910026,2,2156,11360,0.1897887323943662
2910026,9,9204,11360,0.8102112676056338
2910027,9,2810,2810,1.0
2910028,9,2993,2993,1.0
2910029,9,3381,5497,0.6150627615062761
2910029,36,2116,5497,0.38493723849372385
2910030,9,3992,3992,1.0
