year,new_district_id,candidate,party,estimated_votes
2016,6,Flores,REPUBLICAN,8.798489335480184
2016,6,Matta,DEMOCRAT,2.249402913877958
2016,6,Patterson,LIBERTARIAN,0.2277474508859016
2016,10,Flores,REPUBLICAN,12.090566037735849
2016,10,Matta,DEMOCRAT,1.4037735849056603
2016,10,Patterson,LIBERTARIAN,0.3169811320754717
2016,17,Flores,REPUBLICAN,5739.110944626784
2016,17,Matta,DEMOCRAT,1689.3468235012165
2016,17,Patterson,LIBERTARIAN,162.45527141703863
2018,6,CHURCHMAN,LIBERTARIAN,0.013748854262144821
2018,6,FLORES,REPUBLICAN,8.299350572177008
2018,6,KENNEDY,DEMOCRAT,2.1083285984308886
2018,10,CHURCHMAN,LIBERTARIAN,0.09056603773584905
2018,10,FLORES,REPUBLICAN,9.91698113207547
2018,10,KENNEDY,DEMOCRAT,1.0415094339622641
2018,17,CHURCHMAN,LIBERTARIAN,59.895685108002006
2018,17,FLORES,REPUBLICAN,5223.783668295748
2018,17,KENNEDY,DEMOCRAT,1574.8501619676067
2020,6,BROWN,LIBERTARIAN,0.2010772264827015
2020,6,KENNEDY,DEMOCRAT,2.6624867114290547
2020,6,SESSIONS,REPUBLICAN,10.860897385718289
2020,10,BROWN,LIBERTARIAN,0.22641509433962262
2020,10,KENNEDY,DEMOCRAT,1.4943396226415093
2020,10,SESSIONS,REPUBLICAN,13.856603773584904
2020,17,BROWN,LIBERTARIAN,140.57250767917768
2020,17,KENNEDY,DEMOCRAT,2079.8431736659295
2020,17,SESSIONS,REPUBLICAN,6757.282498840697
2022,6,SESSIONS,REPUBLICAN,9.316582368938706
2022,6,WOODS,DEMOCRAT,1.9682362120818044
2022,10,SESSIONS,REPUBLICAN,11.50188679245283
2022,10,WOODS,DEMOCRAT,1.1773584905660377
2022,17,SESSIONS,REPUBLICAN,5398.1815308386085
2022,17,WOODS,DEMOCRAT,1352.854405297352
2024,6,LORENZEN,DEMOCRAT,2.5487163429852755
2024,6,SESSIONS,REPUBLICAN,11.880626336748168
2024,10,LORENZEN,DEMOCRAT,1.7660377358490564
2024,10,SESSIONS,REPUBLICAN,14.490566037735848
2024,17,LORENZEN,DEMOCRAT,1805.6852459211657
2024,17,SESSIONS,REPUBLICAN,7021.628807625516
