old_precinct_id,new_district_id,fragment_population,precinct_total,weight
2930101,17,3865,3865,1.0
2930102,17,1251,1251,1.0
2930103,17,987,987,1.0
2930104,10,0,1164,0.0
2930104,17,1164,1164,1.0
2930201,17,1541,1541,1.0
2930202,17,2483,2483,1.0
2930203,17,935,935,1.0
2930204,17,923,923,1.0
2930205,6,15,1091,0.013748854262144821
2930205,17,1076,1091,0.9862511457378552
2930206,6,35,1126,0.03108348134991119
2930206,17,1091,1126,0.9689165186500888
2930301,17,4682,4682,1.0
2930302,17,2568,2568,1.0
2930303,17,483,483,1.0
2930304,17,2064,2064,1.0
2930305,17,604,604,1.0
2930401,17,4468,4468,1.0
2930402,10,36,795,0.045283018867924525
2930402,17,759,795,0.9547169811320755
2930403,17,1210,1210,1.0
2930404,17,1491,1491,1.0
2930405,17,1209,1209,1.0
2930406,17,873,873,1.0
