year,new_district_id,candidate,party,estimated_votes
2016,15,Gonzalez,DEMOCRAT,27.45191790208676
2016,15,Leone,LIBERTARIAN,2.2900248101658374
2016,15,Tijerina,OTHER,1.4285261941348801
2016,15,Westley,REPUBLICAN,187.63159029847634
2016,28,Gonzalez,DEMOCRAT,722.0343834677761
2016,28,Leone,LIBERTARIAN,48.709975189834154
2016,28,Tijerina,OTHER,48.57147380586512
2016,28,Westley,REPUBLICAN,3124.8273138111126
2016,35,Gonzalez,DEMOCRAT,0.5136986301369862
2016,35,Leone,LIBERTARIAN,0.0
2016,35,Tijerina,OTHER,0.0
2016,35,Westley,REPUBLICAN,1.5410958904109588
2018,15,CRISTO,LIBERTARIAN,0.7285672003039597
2018,15,GONZALEZ,DEMOCRAT,23.565755203120588
2018,15,WESTLEY,REPUBLICAN,164.42353489277122
2018,28,CRISTO,LIBERTARIAN,30.271432799696044
2018,28,GONZALEZ,DEMOCRAT,590.9205461667424
2018,28,WESTLEY,REPUBLICAN,2786.035369216818
2018,35,CRISTO,LIBERTARIAN,0.0
2018,35,GONZALEZ,DEMOCRAT,0.5136986301369862
2018,35,WESTLEY,REPUBLICAN,1.5410958904109588
2020,15,DE LA CRUZ HERNANDEZ,REPUBLICAN,228.02149205172202
2020,15,GONZALEZ,DEMOCRAT,36.73466312151273
2020,15,LEONE,LIBERTARIAN,2.5200963993764134
2020,28,DE LA CRUZ HERNANDEZ,REPUBLICAN,3875.1291928797846
2020,28,GONZALEZ,DEMOCRAT,740.7516382483503
2020,28,LEONE,LIBERTARIAN,50.47990360062358
2020,35,DE LA CRUZ HERNANDEZ,REPUBLICAN,1.8493150684931505
2020,35,GONZALEZ,DEMOCRAT,0.5136986301369862
2020,35,LEONE,LIBERTARIAN,0.0
2022,15,DE LA CRUZ,REPUBLICAN,201.60250584168529
2022,15,LEONE,LIBERTARIAN,1.9204848191888875
2022,15,VALLEJO,DEMOCRAT,27.89017887082631
2022,28,DE LA CRUZ,REPUBLICAN,3190.8290010076294
2022,28,LEONE,LIBERTARIAN,31.079515180811114
2022,28,VALLEJO,DEMOCRAT,507.00708140314623
2022,35,DE LA CRUZ,REPUBLICAN,2.5684931506849313
2022,35,VALLEJO,DEMOCRAT,0.10273972602739725
2024,15,DE LA CRUZ,REPUBLICAN,242.11581739348102
2024,15,VALLEJO,DEMOCRAT,35.8122479722354
2024,28,DE LA CRUZ,REPUBLICAN,4042.493771647615
2024,28,VALLEJO,DEMOCRAT,653.8795328496825
2024,35,DE LA CRUZ,REPUBLICAN,3.3904109589041096
2024,35,VALLEJO,DEMOCRAT,0.3082191780821918
