year,new_district_id,candidate,party,estimated_votes
2016,11,Conaway,REPUBLICAN,8579.506704362786
2016,11,Landholt,LIBERTARIAN,1656.1366650405434
2016,21,Conaway,REPUBLICAN,28.785412267882712
2016,21,Landholt,LIBERTARIAN,4.913010985374349
2016,31,Conaway,REPUBLICAN,5.707883369330454
2016,31,Landholt,LIBERTARIAN,0.9503239740820735
2018,11,CONAWAY,REPUBLICAN,8019.600840233834
2018,11,LEEDER,DEMOCRAT,1920.7885726428003
2018,11,SMITH,LIBERTARIAN,126.55512317555375
2018,21,CONAWAY,REPUBLICAN,27.593274237008096
2018,21,LEEDER,DEMOCRAT,6.038371201692254
2018,21,SMITH,LIBERTARIAN,0.39439086332313467
2018,31,CONAWAY,REPUBLICAN,5.805885529157668
2018,31,LEEDER,DEMOCRAT,1.1730561555075594
2018,31,SMITH,LIBERTARIAN,0.05048596112311016
2020,11,CODY,LIBERTARIAN,193.29994216718816
2020,11,HOGG,DEMOCRAT,2199.454979547169
2020,11,PFLUGER,REPUBLICAN,9945.815250954784
2020,21,CODY,LIBERTARIAN,0.6198742474986516
2020,21,HOGG,DEMOCRAT,7.0868671050989684
2020,21,PFLUGER,REPUBLICAN,33.47308597826231
2020,31,CODY,LIBERTARIAN,0.08018358531317495
2020,31,HOGG,DEMOCRAT,1.4581533477321815
2020,31,PFLUGER,REPUBLICAN,6.711663066954644
2022,11,PFLUGER,REPUBLICAN,9367.059446468464
2022,21,PFLUGER,REPUBLICAN,32.7745168144741
2022,31,PFLUGER,REPUBLICAN,7.166036717062635
2024,11,PFLUGER,REPUBLICAN,11501.736066592106
2024,21,PFLUGER,REPUBLICAN,39.889203386296245
2024,31,PFLUGER,REPUBLICAN,8.374730021598273
