old_precinct_id,new_district_id,fragment_population,precinct_total,weight
3030001,19,10361,10361,1.0
3030002,19,4608,4608,1.0
3030003,19,6142,6142,1.0
3030004,19,4495,4495,1.0
3030005,19,2136,2136,1.0
3030006,19,4103,4103,1.0
3030007,19,7454,7454,1.0
3030008,19,4710,4710,1.0
3030009,19,7585,7585,1.0
3030010,19,9350,9350,1.0
3030011,19,1363,1363,1.0
3030012,19,5232,5232,1.0
3030013,19,2050,2050,1.0
3030014,19,3532,3532,1.0
3030015,19,11557,11557,1.0
3030017,19,8032,8032,1.0
3030019,19,4376,4376,1.0
3030020,19,2499,2499,1.0
3030021,19,6229,6229,1.0
3030022,19,7515,7515,1.0
3030023,19,3418,3418,1.0
3030024,19,5593,5593,1.0
3030025,19,3104,3104,1.0
3030026,19,6345,6345,1.0
3030027,19,8336,8336,1.0
3030028,19,5461,5461,1.0
3030029,19,8861,8861,1.0
3030030,19,6426,6426,1.0
3030031,19,3464,3464,1.0
3030032,19,3442,3442,1.0
3030033,19,6008,6008,1.0
3030034,19,2973,2973,1.0
3030035,19,2067,2067,1.0
3030036,19,4165,4165,1.0
3030037,19,2282,2282,1.0
3030038,19,3618,3618,1.0
3030039,19,3671,3671,1.0
3030040,19,3374,3374,1.0
3030041,19,3847,3847,1.0
3030043,19,1337,1337,1.0
3030044,19,2319,2319,1.0
3030045,19,822,822,1.0
3030046,19,5307,5307,1.0
3030047,19,7088,7088,1.0
3030049,19,7103,7103,1.0
3030050,19,8935,8935,1.0
3030051,19,1017,1017,1.0
3030052,19,6567,6567,1.0
3030053,19,11208,11208,1.0
3030054,19,6922,6922,1.0
3030056,19,3336,3336,1.0
3030057,19,7706,7706,1.0
3030058,19,4924,4924,1.0
3030059,19,11184,11184,1.0
3030060,19,3009,3009,1.0
3030062,19,5943,5943,1.0
3030063,19,1118,1118,1.0
3030065,19,3015,3015,1.0
3030066,19,6216,6216,1.0
3030067,19,6571,6571,1.0
3030072,19,9713,9713,1.0
3030075,19,3087,3087,1.0
3030076,19,6513,6513,1.0
3030078,19,7626,7626,1.0
3030092,19,1384,1384,1.0
3030102,19,961,961,1.0
3030103,19,1396,1396,1.0
3030104,19,2594,2594,1.0
3030108,19,4339,4339,1.0
3030109,19,6951,6951,1.0
3030110,19,7716,7716,1.0
3030111,19,7904,7904,1.0
3030112,19,5368,5368,1.0
3030113,19,7662,7662,1.0
3030114,19,4281,4281,1.0
3030118,19,4478,4478,1.0
3030119,19,6883,6883,1.0
3030120,19,7258,7258,1.0
3030121,19,6712,6712,1.0
3030122,19,5212,5212,1.0
3030123,19,4035,4035,1.0
3030124,19,4502,4502,1.0
3030125,19,5394,5394,1.0
3030126,19,2784,2784,1.0
3030127,19,5544,5544,1.0
3030128,19,5733,5733,1.0
3030129,19,7627,7627,1.0
3030135,19,4673,4673,1.0
3030138,19,3082,3082,1.0
3030139,19,4597,4597,1.0
3030140,19,6540,6540,1.0
3030141,19,6253,6253,1.0
3030142,19,504,504,1.0
3030151,19,3777,3777,1.0
3030152,19,8634,8634,1.0
3030153,19,3668,3668,1.0
3030154,19,9466,9466,1.0
3030155,19,5049,5049,1.0
3030178,19,548,548,1.0
