year,new_district_id,candidate,party,estimated_votes
2018,10,BRADY,REPUBLICAN,3042.015009380863
2018,10,DAVID,DEMOCRAT,729.9812382739212
2018,10,DUNCAN,LIBERTARIAN,31.97748592870544
2018,17,BRADY,REPUBLICAN,3.9849906191369606
2018,17,DAVID,DEMOCRAT,2.0187617260787993
2018,17,DUNCAN,LIBERTARIAN,0.0225140712945591
2020,10,BRADY,REPUBLICAN,4145.412098298677
2020,10,DUNCAN,LIBERTARIAN,66.91682419659736
2020,10,HERNANDEZ,DEMOCRAT,1020.8771266540643
2020,17,BRADY,REPUBLICAN,5.5879017013232515
2020,17,DUNCAN,LIBERTARIAN,0.0831758034026465
2020,17,HERNANDEZ,DEMOCRAT,3.122873345935728
2022,10,KELSEY,LIBERTARIAN,61.93950850661626
2022,10,MCCAUL,REPUBLICAN,3237.538752362949
2022,10,NUNO,DEMOCRAT,558.374291115312
2022,17,KELSEY,LIBERTARIAN,0.06049149338374291
2022,17,MCCAUL,REPUBLICAN,4.46124763705104
2022,17,NUNO,DEMOCRAT,1.6257088846880907
2024,10,BOISSEAU,DEMOCRAT,887.4517958412098
2024,10,MCCAUL,REPUBLICAN,4392.026465028355
2024,10,MILLER,LIBERTARIAN,83.93950850661625
2024,17,BOISSEAU,DEMOCRAT,2.54820415879017
2024,17,MCCAUL,REPUBLICAN,5.973534971644613
2024,17,MILLER,LIBERTARIAN,0.06049149338374291
