year,new_district_id,candidate,party,estimated_votes
2016,1,Ratcliffe,REPUBLICAN,2979.669092607092
2016,1,Wommack,LIBERTARIAN,371.20430631939405
2016,3,Ratcliffe,REPUBLICAN,11.193675889328064
2016,3,Wommack,LIBERTARIAN,1.5391304347826087
2016,32,Ratcliffe,REPUBLICAN,11.137231503579953
2016,32,Wommack,LIBERTARIAN,2.256563245823389
2018,1,ASHBY,LIBERTARIAN,28.688342279283447
2018,1,KRANTZ,DEMOCRAT,983.3542718877056
2018,1,RATCLIFFE,REPUBLICAN,2467.8534398671786
2018,3,ASHBY,LIBERTARIAN,0.0932806324110672
2018,3,KRANTZ,DEMOCRAT,4.477470355731225
2018,3,RATCLIFFE,REPUBLICAN,8.721739130434782
2018,32,ASHBY,LIBERTARIAN,0.21837708830548924
2018,32,KRANTZ,DEMOCRAT,5.1682577565632455
2018,32,RATCLIFFE,REPUBLICAN,7.424821002386635
2020,1,ANTONELLI,LIBERTARIAN,75.50178101446132
2020,1,FALLON,REPUBLICAN,3380.602782835096
2020,1,FOSTER,DEMOCRAT,1239.163507126888
2020,3,ANTONELLI,LIBERTARIAN,0.2798418972332016
2020,3,FALLON,REPUBLICAN,13.712252964426877
2020,3,FOSTER,DEMOCRAT,5.503557312252965
2020,32,ANTONELLI,LIBERTARIAN,0.21837708830548924
2020,32,FALLON,REPUBLICAN,13.684964200477326
2020,32,FOSTER,DEMOCRAT,6.332935560859188
2022,1,JEFFERSON,DEMOCRAT,734.3330298942523
2022,1,MORAN,REPUBLICAN,2517.758122576811
2022,3,JEFFERSON,DEMOCRAT,3.264822134387352
2022,3,MORAN,REPUBLICAN,10.307509881422925
2022,32,JEFFERSON,DEMOCRAT,2.4021479713603817
2022,32,MORAN,REPUBLICAN,7.934367541766109
2024,1,MORAN,REPUBLICAN,3728.543549954248
2024,3,MORAN,REPUBLICAN,15.717786561264823
2024,32,MORAN,REPUBLICAN,12.738663484486873
