year,new_district_id,candidate,party,estimated_votes
2016,11,Conaway,REPUBLICAN,38.15021307675995
2016,11,Landholt,LIBERTARIAN,4.209832812400804
2016,19,Conaway,REPUBLICAN,1445.8497869232401
2016,19,Landholt,LIBERTARIAN,133.7901671875992
2018,11,CONAWAY,REPUBLICAN,31.33366496275663
2018,11,LEEDER,DEMOCRAT,6.483289069545191
2018,11,SMITH,LIBERTARIAN,0.5291297968672672
2018,19,CONAWAY,REPUBLICAN,1277.6663350372432
2018,19,LEEDER,DEMOCRAT,194.51671093045482
2018,19,SMITH,LIBERTARIAN,19.470870203132733
2020,11,CODY,LIBERTARIAN,1.166828204556468
2020,11,HOGG,DEMOCRAT,10.014231672180253
2020,11,PFLUGER,REPUBLICAN,51.725735726722476
2020,19,CODY,LIBERTARIAN,30.833171795443533
2020,19,HOGG,DEMOCRAT,255.98576832781976
2020,19,PFLUGER,REPUBLICAN,1759.2742642732774
2022,11,ARRINGTON,REPUBLICAN,35.489546421593104
2022,11,LEWIS,OTHER,4.831939310340271
2022,19,ARRINGTON,REPUBLICAN,1290.510453578407
2022,19,LEWIS,OTHER,138.16806068965974
2024,11,ARRINGTON,REPUBLICAN,52.12209520270738
2024,11,JOHNSON,LIBERTARIAN,3.902823394348646
2024,11,LEWIS,OTHER,4.343292131479327
2024,19,ARRINGTON,REPUBLICAN,1737.8779047972926
2024,19,JOHNSON,LIBERTARIAN,95.09717660565136
2024,19,LEWIS,OTHER,105.65670786852067
