year,new_district_id,candidate,party,estimated_votes
2016,11,Conaway,REPUBLICAN,1687.0859768691816
2016,11,Landholt,LIBERTARIAN,173.91128943607782
2016,21,Conaway,REPUBLICAN,8.91402313081814
2016,21,Landholt,LIBERTARIAN,1.0887105639221721
2018,11,CONAWAY,REPUBLICAN,1570.738858385934
2018,11,LEEDER,DEMOCRAT,362.20023084533364
2018,11,SMITH,LIBERTARIAN,12.934755818864518
2018,21,CONAWAY,REPUBLICAN,8.261141614065945
2018,21,LEEDER,DEMOCRAT,1.7997691546663737
2018,21,SMITH,LIBERTARIAN,0.06524418113548133
2020,11,CODY,LIBERTARIAN,28.860865395483042
2020,11,HOGG,DEMOCRAT,416.82380693566296
2020,11,PFLUGER,REPUBLICAN,1969.582084255806
2020,21,CODY,LIBERTARIAN,0.13913460451695686
2020,21,HOGG,DEMOCRAT,2.17619306433705
2020,21,PFLUGER,REPUBLICAN,10.417915744194241
2022,11,PFLUGER,REPUBLICAN,1706.1336737270626
2022,21,PFLUGER,REPUBLICAN,9.86632627293736
2024,11,PFLUGER,REPUBLICAN,2049.1086033271604
2024,21,PFLUGER,REPUBLICAN,11.891396672839413
