year,new_district_id,candidate,party,estimated_votes
2016,22,Barrera,DEMOCRAT,59.6143023479322
2016,22,Farenthold,REPUBLICAN,137.0930262085586
2016,27,Barrera,DEMOCRAT,3535.3856976520674
2016,27,Farenthold,REPUBLICAN,8049.9069737914415
2018,22,CLOUD,REPUBLICAN,126.24644250725493
2018,22,DUERR,OTHER,1.9628266791413695
2018,22,HOLGUIN,DEMOCRAT,50.80447443390501
2018,22,TINUS,LIBERTARIAN,5.52526192225318
2018,27,CLOUD,REPUBLICAN,6976.753557492745
2018,27,DUERR,OTHER,102.03717332085863
2018,27,HOLGUIN,DEMOCRAT,2700.195525566095
2018,27,TINUS,LIBERTARIAN,387.4747380777468
2020,22,CLOUD,REPUBLICAN,168.28030753268715
2020,22,DE LA FUENTE,DEMOCRAT,59.137963224390454
2020,22,GRAY,LIBERTARIAN,2.8888597185340665
2020,27,CLOUD,REPUBLICAN,9508.719692467312
2020,27,DE LA FUENTE,DEMOCRAT,3378.8620367756093
2020,27,GRAY,LIBERTARIAN,258.11114028146596
2022,22,JORDAN,DEMOCRAT,36.65694771873062
2022,22,LEBLANC,LIBERTARIAN,3.162269799525929
2022,22,NEHLS,REPUBLICAN,135.07299425828194
2022,27,JORDAN,DEMOCRAT,2106.3430522812696
2022,27,LEBLANC,LIBERTARIAN,165.83773020047408
2022,27,NEHLS,REPUBLICAN,7162.927005741718
2022,27,SQUIRES,OTHER,4.0
2024,22,GREENE SCOTT,DEMOCRAT,51.498530199900756
2024,22,NEHLS,REPUBLICAN,182.70162457212865
2024,27,GREENE SCOTT,DEMOCRAT,3086.501469800099
2024,27,NEHLS,REPUBLICAN,9588.298375427872
