old_precinct_id,new_district_id,fragment_population,precinct_total,weight
3210002,22,0,833,0.0
3210002,27,833,833,1.0
3210004,27,2369,2369,1.0
3210005,22,332,3640,0.0912087912087912
3210005,27,3308,3640,0.9087912087912088
3210006,22,94,2026,0.04639684106614018
3210006,27,1932,2026,0.9536031589338598
3210007,27,656,656,1.0
3210008,27,1401,1401,1.0
3210009,22,62,333,0.18618618618618618
3210009,27,271,333,0.8138138138138138
3210010,27,648,648,1.0
3210012,27,811,811,1.0
3210013,22,96,697,0.13773314203730272
3210013,27,601,697,0.8622668579626973
321001A,27,5484,5484,1.0
321001B,27,8692,8692,1.0
321001C,27,2654,2654,1.0
321001D,27,4318,4318,1.0
321001E,27,4921,4921,1.0
321001F,27,2409,2409,1.0
321003A,27,4640,4640,1.0
321003B,27,2321,2321,1.0
