year,new_district_id,candidate,party,estimated_votes
2016,23,Corvalan,LIBERTARIAN,470.1653193982547
2016,23,Gallego,DEMOCRAT,8226.266763804955
2016,23,Hurd,REPUBLICAN,2431.4739054354204
2016,28,Corvalan,LIBERTARIAN,111.83468060174533
2016,28,Gallego,DEMOCRAT,1653.7332361950446
2016,28,Hurd,REPUBLICAN,388.52609456457975
2018,23,CORVALAN,LIBERTARIAN,252.39128909588487
2018,23,HURD,REPUBLICAN,2520.8007322817916
2018,23,ORTIZ JONES,DEMOCRAT,6234.231429176523
2018,28,CORVALAN,LIBERTARIAN,45.60871090411514
2018,28,HURD,REPUBLICAN,360.1992677182084
2018,28,ORTIZ JONES,DEMOCRAT,1181.7685708234771
2020,23,GONZALES,REPUBLICAN,4693.305776467375
2020,23,ORTIZ JONES,DEMOCRAT,6952.8548446034965
2020,23,VILLELA,LIBERTARIAN,281.4439445116425
2020,28,GONZALES,REPUBLICAN,1075.6942235326255
2020,28,ORTIZ JONES,DEMOCRAT,1599.1451553965035
2020,28,VILLELA,LIBERTARIAN,67.55605548835753
2022,23,GONZALES,REPUBLICAN,3715.6308979239157
2022,23,LIRA,DEMOCRAT,3591.3756318460996
2022,23,LOPEZ,OTHER,513.601505411055
2022,28,GONZALES,REPUBLICAN,516.3691020760843
2022,28,LIRA,DEMOCRAT,523.6243681539005
2022,28,LOPEZ,OTHER,91.39849458894498
2024,23,GONZALES,REPUBLICAN,7450.627877718274
2024,23,LIMON,DEMOCRAT,4279.31101485007
2024,28,GONZALES,REPUBLICAN,1564.3721222817258
2024,28,LIMON,DEMOCRAT,899.6889851499299
