old_precinct_id,new_district_id,fragment_population,precinct_total,weight
323001A,23,4948,4948,1.0
323001B,23,5169,5169,1.0
323001C,23,9632,10276,0.9373297002724795
323001C,28,644,10276,0.06267029972752043
323001D,23,2157,6612,0.3262250453720508
323001D,28,4455,6612,0.6737749546279492
323002A,23,2239,2239,1.0
323002B,23,6271,11785,0.5321170980059398
323002B,28,5514,11785,0.46788290199406024
323002C,23,1789,9546,0.18740833857112926
323002C,28,7757,9546,0.8125916614288707
323002D,28,271,271,1.0
323002E,23,2619,2619,1.0
323002E,28,0,2619,0.0
323003A,23,7739,7739,1.0
323003B,23,10020,10020,1.0
323003C,23,1011,1011,1.0
323004A,23,4740,4740,1.0
323004B,23,7523,7523,1.0
323004B,28,0,7523,0.0
323004C,23,2755,2755,1.0
323004D,23,8475,11492,0.73746954403063
323004D,28,3017,11492,0.26253045596936997
