year,new_district_id,candidate,party,estimated_votes
2016,17,Flores,REPUBLICAN,51844.24228677151
2016,17,Matta,DEMOCRAT,24637.045962476564
2016,17,Patterson,LIBERTARIAN,2155.504346597705
2016,31,Flores,REPUBLICAN,59.7577132284912
2016,31,Matta,DEMOCRAT,7.954037523434312
2016,31,Patterson,LIBERTARIAN,1.4956534022948147
2018,17,CHURCHMAN,LIBERTARIAN,993.3871495967953
2018,17,FLORES,REPUBLICAN,47670.28538554805
2018,17,KENNEDY,DEMOCRAT,25897.5797996697
2018,31,CHURCHMAN,LIBERTARIAN,0.6128504032046416
2018,31,FLORES,REPUBLICAN,56.71461445195169
2018,31,KENNEDY,DEMOCRAT,8.420200330298366
2020,17,BROWN,LIBERTARIAN,2680.650067267416
2020,17,KENNEDY,DEMOCRAT,33082.68681653115
2020,17,SESSIONS,REPUBLICAN,59579.48068363973
2020,31,BROWN,LIBERTARIAN,1.3499327325840131
2020,31,KENNEDY,DEMOCRAT,10.31318346884736
2020,31,SESSIONS,REPUBLICAN,73.5193163602653
2022,17,SESSIONS,REPUBLICAN,48598.4148995665
2022,17,WOODS,DEMOCRAT,22989.490730581227
2022,31,SESSIONS,REPUBLICAN,65.5851004334975
2022,31,WOODS,DEMOCRAT,7.509269418775526
2024,17,LORENZEN,DEMOCRAT,31734.448347261052
2024,17,SESSIONS,REPUBLICAN,65808.3524559337
2024,31,LORENZEN,DEMOCRAT,10.551652738950143
2024,31,SESSIONS,REPUBLICAN,83.64754406630468
