old_precinct_id,new_district_id,fragment_population,precinct_total,weight
3090001,17,1316,1316,1.0
3090002,17,2147,2147,1.0
3090003,17,12649,12649,1.0
3090004,17,587,587,1.0
3090005,17,2950,2950,1.0
3090006,17,3040,3040,1.0
3090007,17,4661,4661,1.0
3090008,17,4509,4509,1.0
3090009,17,3815,3815,1.0
3090010,17,6604,6604,1.0
3090011,17,5185,5185,1.0
3090012,17,6894,6894,1.0
3090013,17,529,529,1.0
3090014,17,4723,4723,1.0
3090015,17,2656,2656,1.0
3090016,17,7087,7087,1.0
3090017,17,1837,1837,1.0
3090018,17,3171,3171,1.0
3090019,17,6659,6659,1.0
3090020,17,5436,5436,1.0
3090021,17,3742,3742,1.0
3090022,17,4367,4367,1.0
3090023,17,6089,6089,1.0
3090024,17,2126,2126,1.0
3090025,17,6614,6614,1.0
3090026,17,3939,3939,1.0
3090027,17,4760,4760,1.0
3090028,17,3056,3056,1.0
3090029,17,5099,5099,1.0
3090030,17,6051,6051,1.0
3090031,17,7310,7310,1.0
3090032,17,4208,4208,1.0
3090033,17,8026,8026,1.0
3090034,17,3032,3032,1.0
3090035,17,3576,3576,1.0
3090036,17,4146,4146,1.0
3090037,17,4962,4962,1.0
3090038,17,2563,2563,1.0
3090039,17,4470,4470,1.0
3090040,17,5592,5592,1.0
3090041,17,4612,4612,1.0
3090042,17,4716,4716,1.0
3090043,17,4414,4414,1.0
3090044,17,8292,8292,1.0
3090045,17,2742,2742,1.0
3090046,17,2029,2029,1.0
3090047,17,1437,1437,1.0
3090048,17,2793,2793,1.0
3090049,17,2076,2076,1.0
3090050,17,5553,5553,1.0
3090051,17,10861,10861,1.0
3090052,17,2803,2803,1.0
3090053,17,3444,3444,1.0
3090054,17,5797,5797,1.0
3090055,17,9594,9594,1.0
3090056,17,3096,3096,1.0
3090057,17,4777,4777,1.0
3090058,17,9317,9317,1.0
3090059,17,7856,7856,1.0
3090060,17,8694,8694,1.0
3090061,17,8202,8202,1.0
3090062,17,9257,9257,1.0
3090063,17,6410,6410,1.0
3090064,17,4208,4208,1.0
3090065,17,2910,2910,1.0
3090066,17,4016,4016,1.0
3090067,17,5140,5140,1.0
3090068,17,2552,2552,1.0
3090069,17,3089,3089,1.0
3090070,17,1429,1429,1.0
3090071,17,1519,1519,1.0
3090072,17,1916,1916,1.0
3090073,17,2003,2003,1.0
3090074,17,2526,2526,1.0
3090075,17,8497,8497,1.0
3090076,17,5194,5194,1.0
3090077,17,4067,4133,0.9840309702395355
3090077,31,66,4133,0.015969029760464555
3090078,17,10617,10634,0.9984013541470754
3090078,31,17,10634,0.0015986458529245815
3090079,17,3431,3452,0.9939165701042874
3090079,31,21,3452,0.00608342989571263
3090080,17,4525,4675,0.9679144385026738
3090080,31,150,4675,0.03208556149732621
3090081,17,7122,7122,1.0
3090082,17,4644,4644,1.0
3090083,17,2996,2996,1.0
3090084,17,4230,4230,1.0
3090085,17,2070,2070,1.0
3090086,17,6589,6589,1.0
3090087,17,5859,5859,1.0
3090088,17,1988,1988,1.0
3090089,17,1298,1298,1.0
3090090,17,2295,2295,1.0
3090091,17,5398,5398,1.0
