old_precinct_id,new_district_id,fragment_population,precinct_total,weight
325001A,21,80,2959,0.027036160865157147
325001A,23,2879,2959,0.9729638391348429
325001B,21,117,3931,0.02976341897735945
325001B,23,3814,3931,0.9702365810226405
325001C,21,827,5876,0.1407420013614704
325001C,23,5049,5876,0.8592579986385296
325001D,23,5849,5849,1.0
325002A,23,5305,5305,1.0
325002B,23,4944,4944,1.0
325002C,23,9409,9902,0.9502120783680065
325002C,28,186,9902,0.01878408402342961
325002C,35,307,9902,0.031003837608563928
325003A,23,1640,1640,1.0
325003B,23,1373,1373,1.0
325003C,23,5972,6480,0.921604938271605
325003C,28,459,6480,0.07083333333333333
325003C,35,49,6480,0.007561728395061728
325003D,23,6825,6825,1.0
325004A,23,3669,3669,1.0
325004B,23,8168,8528,0.9577861163227017
325004B,28,360,8528,0.04221388367729831
325004C,23,4144,4684,0.8847139197267293
325004C,28,540,4684,0.11528608027327071
