year,new_district_id,candidate,party,estimated_votes
2016,11,Conaway,REPUBLICAN,721.1423877327492
2016,11,Landholt,LIBERTARIAN,57.69331872946331
2016,23,Conaway,REPUBLICAN,5.857612267250821
2016,23,Landholt,LIBERTARIAN,0.3066812705366922
2018,11,CONAWAY,REPUBLICAN,648.4490690032859
2018,11,LEEDER,DEMOCRAT,122.17196056955093
2018,11,SMITH,LIBERTARIAN,5.969331872946331
2018,23,CONAWAY,REPUBLICAN,5.550930996714129
2018,23,LEEDER,DEMOCRAT,0.828039430449069
2018,23,SMITH,LIBERTARIAN,0.03066812705366922
2020,11,CODY,LIBERTARIAN,16.90738699007718
2020,11,HOGG,DEMOCRAT,184.64167585446526
2020,11,PFLUGER,REPUBLICAN,793.3318632855568
2020,23,CODY,LIBERTARIAN,0.09261300992282248
2020,23,HOGG,DEMOCRAT,1.35832414553473
2020,23,PFLUGER,REPUBLICAN,6.668136714443219
2022,11,PFLUGER,REPUBLICAN,647.329519450801
2022,23,PFLUGER,REPUBLICAN,5.670480549199085
2024,11,PFLUGER,REPUBLICAN,908.7345537757437
2024,23,PFLUGER,REPUBLICAN,8.265446224256292
