year,new_district_id,candidate,party,estimated_votes
2016,11,Conaway,REPUBLICAN,38383.63090889901
2016,11,Landholt,LIBERTARIAN,5316.9932490693
2016,19,Conaway,REPUBLICAN,628.3308094891415
2016,19,Landholt,LIBERTARIAN,65.513548272523
2016,23,Conaway,REPUBLICAN,10.038281611850987
2016,23,Landholt,LIBERTARIAN,1.4932026581769915
2018,11,CONAWAY,REPUBLICAN,33109.611728462056
2018,11,LEEDER,DEMOCRAT,7881.586365356997
2018,11,SMITH,LIBERTARIAN,890.6733438875041
2018,19,CONAWAY,REPUBLICAN,599.609964184393
2018,19,LEEDER,DEMOCRAT,92.82433677567955
2018,19,SMITH,LIBERTARIAN,13.195242991671677
2018,23,CONAWAY,REPUBLICAN,8.778307353542694
2018,23,LEEDER,DEMOCRAT,1.5892978673241358
2018,23,SMITH,LIBERTARIAN,0.13141312082421364
2020,11,CODY,LIBERTARIAN,1230.9745276226672
2020,11,HOGG,DEMOCRAT,10999.05169981832
2020,11,PFLUGER,REPUBLICAN,44971.89034097665
2020,19,CODY,LIBERTARIAN,18.652886985178924
2020,19,HOGG,DEMOCRAT,139.3851302364867
2020,19,PFLUGER,REPUBLICAN,860.610521398967
2020,23,CODY,LIBERTARIAN,0.3725853921537768
2020,23,HOGG,DEMOCRAT,2.5631699451948826
2020,23,PFLUGER,REPUBLICAN,14.499137624387732
2022,11,PFLUGER,REPUBLICAN,33487.86089996451
2022,19,PFLUGER,REPUBLICAN,978.737027300419
2022,23,PFLUGER,REPUBLICAN,9.40207273507582
2024,11,PFLUGER,REPUBLICAN,47015.78908520915
2024,19,PFLUGER,REPUBLICAN,1544.5072161414218
2024,23,PFLUGER,REPUBLICAN,14.703698649427675
