old_precinct_id,new_district_id,fragment_population,precinct_total,weight
3290101,11,3908,3977,0.9826502388735228
3290101,23,69,3977,0.017349761126477244
3290102,11,10740,10740,1.0
3290103,11,7277,7277,1.0
3290104,11,3583,3583,1.0
3290105,11,6726,6726,1.0
3290106,11,10388,10388,1.0
3290107,11,7728,7728,1.0
3290108,11,3475,3475,1.0
3290109,11,3231,3231,1.0
3290110,11,7670,7670,1.0
3290201,11,10659,10660,0.999906191369606
3290201,23,1,10660,9.380863039399625e-05
3290202,11,11987,13107,0.9145494773785
3290202,19,1120,13107,0.08545052262149996
3290203,11,7218,9900,0.7290909090909091
3290203,19,2682,9900,0.27090909090909093
3290204,11,5602,5602,1.0
3290204,19,0,5602,0.0
3290205,11,2182,2182,1.0
3290206,11,6113,6113,1.0
3290207,11,5372,5372,1.0
3290208,11,2901,2901,1.0
3290210,11,4528,4528,1.0
3290211,11,10112,12346,0.8190507046816783
3290211,19,2234,12346,0.1809492953183217
3290212,11,4210,4210,1.0
3290302,11,10210,10249,0.9961947507073861
3290302,23,39,10249,0.0038052492926139137
3290303,11,1114,1114,1.0
3290304,11,7427,7427,1.0
3290305,11,6274,6274,1.0
3290306,11,5262,5262,1.0
3290307,11,2544,2544,1.0
3290308,11,11186,11186,1.0
3290309,11,3922,3922,1.0
3290310,11,3459,3459,1.0
3290401,11,6050,6050,1.0
3290401,19,0,6050,0.0
3290402,11,1456,1456,1.0
3290403,11,7932,7932,1.0
3290404,11,7095,7095,1.0
3290405,11,9090,9090,1.0
3290406,11,4237,4237,1.0
3290407,11,9668,9668,1.0
3290408,11,6920,6920,1.0
3290408,19,0,6920,0.0
3290409,11,4627,4627,1.0
3290410,11,4681,4681,1.0
3290411,11,8576,8576,1.0
3290411,19,0,8576,0.0
329108A,11,2089,2089,1.0
329109A,11,59,59,1.0
329307A,11,917,917,1.0
329309A,11,245,245,1.0
329402A,11,1839,1839,1.0
