old_precinct_id,new_district_id,fragment_population,precinct_total,weight
3310101,17,5660,5660,1.0
3310105,17,2199,2495,0.8813627254509018
3310105,31,296,2495,0.1186372745490982
3310203,17,1253,1253,1.0
3310207,17,2182,2182,1.0
3310210,17,1019,1019,1.0
3310212,17,5808,5808,1.0
3310316,10,115,1353,0.08499630450849963
3310316,17,1238,1353,0.9150036954915004
3310317,10,137,2365,0.057928118393234675
3310317,17,2228,2365,0.9420718816067654
3310318,10,219,6290,0.03481717011128776
3310318,17,6071,6290,0.9651828298887123
3310419,10,56,5450,0.010275229357798165
3310419,17,5394,5450,0.9897247706422019
3310420,10,52,3671,0.014165077635521656
3310420,17,3484,3671,0.949060201579951
3310420,31,135,3671,0.03677472078452738
