year,new_district_id,candidate,party,estimated_votes
2016,11,Conaway,REPUBLICAN,91.15590962126689
2016,11,Landholt,LIBERTARIAN,5.679912454356838
2016,25,Conaway,REPUBLICAN,5.061152467604081
2016,25,Landholt,LIBERTARIAN,0.25726101855134115
2016,31,Conaway,REPUBLICAN,1874.782937911129
2016,31,Landholt,LIBERTARIAN,116.06282652709183
2018,11,CONAWAY,REPUBLICAN,79.70483812808304
2018,11,LEEDER,DEMOCRAT,9.218645379635394
2018,11,SMITH,LIBERTARIAN,0.8812484344728988
2018,25,CONAWAY,REPUBLICAN,4.518098795119081
2018,25,LEEDER,DEMOCRAT,0.6090557928935049
2018,25,SMITH,LIBERTARIAN,0.03390038627817145
2018,31,CONAWAY,REPUBLICAN,1676.777063076798
2018,31,LEEDER,DEMOCRAT,216.17229882747114
2018,31,SMITH,LIBERTARIAN,15.08485117924893
2020,11,CODY,LIBERTARIAN,2.035645068226219
2020,11,HOGG,DEMOCRAT,11.430318487113508
2020,11,PFLUGER,REPUBLICAN,95.6829388488427
2020,25,CODY,LIBERTARIAN,0.038024097618377634
2020,25,HOGG,DEMOCRAT,0.5269422629249699
2020,25,PFLUGER,REPUBLICAN,5.916812053925456
2020,31,CODY,LIBERTARIAN,32.9263308341554
2020,31,HOGG,DEMOCRAT,228.04273924996153
2020,31,PFLUGER,REPUBLICAN,2087.400249097232
2022,11,PFLUGER,REPUBLICAN,77.24856124894191
2022,25,PFLUGER,REPUBLICAN,5.176717256237136
2022,31,PFLUGER,REPUBLICAN,1794.574721494821
2024,11,PFLUGER,REPUBLICAN,99.23600169088641
2024,25,PFLUGER,REPUBLICAN,5.766641660415104
2024,31,PFLUGER,REPUBLICAN,2297.9973566486988
