old_precinct_id,new_district_id,fragment_population,precinct_total,weight
3330001,11,53,2187,0.02423411065386374
3330001,31,2134,2187,0.9757658893461363
3330002,31,1179,1179,1.0
3330003,31,340,340,1.0
3330004,31,520,520,1.0
3330005,31,234,234,1.0
3330006,25,12,403,0.02977667493796526
3330006,31,391,403,0.9702233250620348
3330007,11,79,315,0.2507936507936508
3330007,25,1,315,0.0031746031746031746
3330007,31,235,315,0.746031746031746
3330008,11,81,885,0.09152542372881356
3330008,31,804,885,0.9084745762711864
3330009,11,58,1483,0.03910991233985165
3330009,31,1425,1483,0.9608900876601484
3330011,11,113,497,0.22736418511066397
3330011,31,384,497,0.772635814889336
