year,new_district_id,candidate,party,estimated_votes
2016,11,Conaway,REPUBLICAN,0.19490818030050083
2016,11,Landholt,LIBERTARIAN,0.018363939899833055
2016,19,Conaway,REPUBLICAN,1871.8050918196996
2016,19,Landholt,LIBERTARIAN,152.98163606010016
2018,11,CONAWAY,REPUBLICAN,0.164440734557596
2018,11,LEEDER,DEMOCRAT,0.033806343906510855
2018,11,SMITH,LIBERTARIAN,0.002086811352253756
2018,19,CONAWAY,REPUBLICAN,1613.8355592654425
2018,19,LEEDER,DEMOCRAT,262.9661936560935
2018,19,SMITH,LIBERTARIAN,18.997913188647747
2020,11,CODY,LIBERTARIAN,0.007176023638666104
2020,11,HOGG,DEMOCRAT,0.04221190375685943
2020,11,PFLUGER,REPUBLICAN,0.23554242296327563
2020,19,CODY,LIBERTARIAN,39.992823976361336
2020,19,HOGG,DEMOCRAT,353.9577880962431
2020,19,PFLUGER,REPUBLICAN,2131.764457577037
2022,11,ARRINGTON,REPUBLICAN,0.17475728155339806
2022,11,LEWIS,OTHER,0.021950189953566904
2022,19,ARRINGTON,REPUBLICAN,1553.8252427184466
2022,19,LEWIS,OTHER,164.97804981004643
2024,11,ARRINGTON,REPUBLICAN,0.24102997045166735
2024,11,JOHNSON,LIBERTARIAN,0.016884761502743772
2024,11,LEWIS,OTHER,0.014774166314900802
2024,19,ARRINGTON,REPUBLICAN,2112.7589700295484
2024,19,JOHNSON,LIBERTARIAN,124.98311523849725
2024,19,LEWIS,OTHER,125.98522583368509
