old_precinct_id,new_district_id,fragment_population,precinct_total,weight
3370002,13,4920,4973,0.9893424492258194
3370002,25,53,4973,0.010657550774180576
3370003,13,3812,3812,1.0
3370004,13,1296,1296,1.0
3370005,13,2587,2587,1.0
3370006,13,1940,1940,1.0
3370007,13,1708,1962,0.8705402650356778
3370007,26,254,1962,0.12945973496432212
3370008,13,1409,1409,1.0
3370009,13,2967,3000,0.989
3370009,26,33,3000,0.011
3370010,13,2285,2285,1.0
3370011,13,2236,2236,1.0
3370012,13,237,237,1.0
3370013,13,1645,1721,0.9558396281231842
3370013,26,76,1721,0.044160371876815804
3370014,13,545,545,1.0
3370015,13,1177,1177,1.0
3370016,13,752,752,1.0
