old_precinct_id,new_district_id,fragment_population,precinct_total,weight
3390001,8,8140,8140,1.0
3390002,8,8363,8363,1.0
3390003,2,15209,21834,0.6965741504076212
3390003,8,5449,21834,0.2495648987817166
3390003,38,1176,21834,0.05386095081066227
3390004,2,7462,7462,1.0
3390005,8,1088,1237,0.8795472918350848
3390005,10,149,1237,0.12045270816491511
3390006,2,13041,16998,0.7672079068125662
3390006,8,3957,16998,0.23279209318743382
3390007,2,6962,7404,0.9403025391680173
3390007,8,442,7404,0.05969746083198271
3390008,8,9400,10752,0.8742559523809523
3390008,10,1352,10752,0.12574404761904762
3390009,8,5365,6138,0.8740632127728902
3390009,10,773,6138,0.1259367872271098
3390010,8,9749,9749,1.0
3390011,8,6816,6816,1.0
3390012,2,2647,14689,0.180202872898087
3390012,8,11454,14689,0.779767172714276
3390012,10,588,14689,0.040029954387637005
3390013,8,11930,11930,1.0
3390014,2,16379,16379,1.0
3390015,2,5301,21642,0.2449403936789576
3390015,8,16341,21642,0.7550596063210424
3390016,2,8092,9808,0.8250407830342578
3390016,9,1716,9808,0.17495921696574226
3390017,8,11608,11880,0.9771043771043771
3390017,10,272,11880,0.022895622895622896
3390018,8,15707,15707,1.0
3390019,8,10077,10081,0.9996032139668684
3390019,10,4,10081,0.00039678603313163377
3390020,8,12979,12979,1.0
3390021,8,13460,13460,1.0
3390022,8,9313,9313,1.0
3390023,8,10201,10201,1.0
3390024,2,8944,9922,0.9014311630719613
3390024,8,978,9922,0.09856883692803871
3390025,2,8831,24170,0.36537029375258584
3390025,8,15339,24170,0.6346297062474141
3390026,2,11991,11991,1.0
3390027,2,17,12629,0.001346108163750099
3390027,8,12612,12629,0.9986538918362499
3390028,8,10056,13332,0.7542754275427542
3390028,38,3276,13332,0.24572457245724572
3390029,8,12222,12222,1.0
3390030,8,10089,10089,1.0
3390031,2,9693,9693,1.0
3390032,2,12627,12627,1.0
3390033,2,9765,9765,1.0
3390034,2,19072,24014,0.7942033813608729
3390034,8,4942,24014,0.20579661863912718
3390035,2,10135,10135,1.0
3390036,2,12847,17022,0.7547291740101045
3390036,8,4175,17022,0.24527082598989544
3390037,2,8914,8914,1.0
3390038,8,10876,10876,1.0
3390039,8,12799,12799,1.0
3390040,8,15422,15422,1.0
3390041,2,9321,12164,0.7662775402828017
3390041,8,2313,12164,0.1901512660309109
3390041,9,343,12164,0.02819796119697468
3390041,10,187,12164,0.015373232489312726
3390042,2,5697,9355,0.6089791555318012
3390042,8,3658,9355,0.39102084446819885
3390043,8,10836,10836,1.0
3390044,8,13423,13423,1.0
3390045,2,8453,8453,1.0
3390046,2,15644,16888,0.9263382283278068
3390046,29,1244,16888,0.07366177167219327
3390047,2,9865,9865,1.0
3390048,2,7486,7486,1.0
3390049,2,5517,5517,1.0
3390050,8,10016,10016,1.0
3390051,8,11073,11073,1.0
3390052,2,13726,13726,1.0
3390053,2,11273,11405,0.9884261288908374
3390053,9,132,11405,0.011573871109162647
3390054,2,8444,8498,0.9936455636620382
3390054,9,54,8498,0.0063544363379618735
3390055,2,1720,11620,0.14802065404475043
3390055,8,9900,11620,0.8519793459552496
3390056,2,6841,8963,0.7632489121945777
3390056,8,2122,8963,0.23675108780542228
3390057,8,4591,4591,1.0
3390058,2,6862,6862,1.0
3390059,2,5986,5986,1.0
3390060,8,14868,14868,1.0
3390061,2,11860,13754,0.8622946052057583
3390061,8,947,13754,0.06885269739712084
3390061,38,947,13754,0.06885269739712084
3390062,2,9348,9348,1.0
3390063,8,12071,12071,1.0
3390064,2,8313,10153,0.8187727765192554
3390064,8,1840,10153,0.1812272234807446
3390065,8,12341,14342,0.8604797099428253
3390065,38,2001,14342,0.13952029005717473
3390066,2,2094,16805,0.1246057720916394
3390066,8,12827,16805,0.7632847366855102
3390066,38,1884,16805,0.11210949122285034
3390067,2,7938,7938,1.0
3390068,2,11369,11369,1.0
3390069,2,8802,8802,1.0
3390070,2,6648,6648,1.0
3390071,2,11052,13590,0.8132450331125828
3390071,8,2538,13590,0.18675496688741722
3390072,8,6724,6724,1.0
3390073,8,6907,6907,1.0
3390074,2,7266,20722,0.35064182993919507
3390074,8,13456,20722,0.649358170060805
3390075,2,13783,14382,0.958350716172994
3390075,8,599,14382,0.04164928382700598
3390076,2,13086,19408,0.6742580379225062
3390076,8,6322,19408,0.32574196207749384
3390077,8,5652,5652,1.0
3390078,2,15345,16625,0.9230075187969925
3390078,8,1280,16625,0.07699248120300752
3390079,2,7511,7511,1.0
3390080,2,14793,14793,1.0
3390081,2,15240,17074,0.892585217289446
3390081,8,1834,17074,0.10741478271055406
3390082,2,13176,13176,1.0
3390083,8,5379,6239,0.862157397018753
3390083,10,860,6239,0.13784260298124698
3390084,2,12823,12823,1.0
3390085,8,11735,11735,1.0
3390086,2,2390,16844,0.14189028734267395
3390086,8,14454,16844,0.858109712657326
3390087,2,11455,12699,0.9020395306717064
3390087,29,1244,12699,0.09796046932829357
3390088,2,21964,23240,0.9450946643717728
3390088,29,1276,23240,0.05490533562822719
3390089,2,4512,16989,0.26558361292601096
3390089,8,12477,16989,0.734416387073989
