old_precinct_id,new_district_id,fragment_population,precinct_total,weight
3430101,3,1975,1975,1.0
3430102,3,980,1207,0.8119304059652029
3430102,32,227,1207,0.188069594034797
3430103,1,42,2018,0.02081268582755203
3430103,3,1976,2018,0.979187314172448
3430202,1,141,2523,0.0558858501783591
3430202,3,2155,2523,0.8541418945699564
3430202,32,227,2523,0.08997225525168451
3430203,1,49,1864,0.02628755364806867
3430203,3,1815,1864,0.9737124463519313
3430203,32,0,1864,0.0
3430302,1,128,2297,0.055724858511101434
3430302,3,2169,2297,0.9442751414888986
3430302,4,0,2297,0.0
3430303,1,23,1885,0.01220159151193634
3430303,3,1854,1885,0.983554376657825
3430303,4,8,1885,0.004244031830238726
3430401,1,425,4953,0.08580658186957399
3430401,3,4528,4953,0.914193418130426
