year,new_district_id,candidate,party,estimated_votes
2016,13,DeWeese,LIBERTARIAN,18.818847306817272
2016,13,Thornberry,REPUBLICAN,519.1946226965192
2016,13,Tomlinson,OTHER,8.601350337584396
2016,19,DeWeese,LIBERTARIAN,1.18115269318273
2016,19,Thornberry,REPUBLICAN,37.805377303480846
2016,19,Tomlinson,OTHER,0.39864966241560384
2018,13,DEWEESE,LIBERTARIAN,5.480651725327276
2018,13,SAGAN,DEMOCRAT,35.95218510406579
2018,13,THORNBERRY,REPUBLICAN,445.3679128197085
2018,19,DEWEESE,LIBERTARIAN,0.519348274672723
2018,19,SAGAN,DEMOCRAT,3.0478148959342017
2018,19,THORNBERRY,REPUBLICAN,34.6320871802915
2020,13,JACKSON,REPUBLICAN,549.6569421823805
2020,13,TRUJILLO,DEMOCRAT,39.229706855105505
2020,13,WESTBROOK,LIBERTARIAN,5.674650224952183
2020,19,JACKSON,REPUBLICAN,42.343057817619524
2020,19,TRUJILLO,DEMOCRAT,2.770293144894496
2020,19,WESTBROOK,LIBERTARIAN,0.3253497750478168
2022,13,BROWN,DEMOCRAT,20.261039695715116
2022,13,JACKSON,REPUBLICAN,444.03417894332495
2022,19,BROWN,DEMOCRAT,1.7389603042848838
2022,19,JACKSON,REPUBLICAN,33.965821056674976
2024,13,JACKSON,REPUBLICAN,564.388632198698
2024,19,JACKSON,REPUBLICAN,40.6113678013019
