year,new_district_id,candidate,party,estimated_votes
2016,1,Gohmert,REPUBLICAN,15055.922077164796
2016,1,Gray,LIBERTARIAN,588.3634403163898
2016,1,McKellar,DEMOCRAT,6363.154491705613
2016,36,Gohmert,REPUBLICAN,71.07792283520257
2016,36,Gray,LIBERTARIAN,2.636559683610213
2016,36,McKellar,DEMOCRAT,27.845508294388015
2018,1,CALLAWAY,LIBERTARIAN,389.7145290909241
2018,1,GOHMERT,REPUBLICAN,13634.324008419806
2018,1,MCKELLAR,DEMOCRAT,7046.999589382359
2018,36,CALLAWAY,LIBERTARIAN,1.285470909075971
2018,36,GOHMERT,REPUBLICAN,66.67599158019468
2018,36,MCKELLAR,DEMOCRAT,28.00041061764005
2020,1,GILBERT,DEMOCRAT,8691.887175182052
2020,1,GOHMERT,REPUBLICAN,17239.628124392864
2020,36,GILBERT,DEMOCRAT,37.11282481794942
2020,36,GOHMERT,REPUBLICAN,89.37187560713735
2022,1,SESSIONS,REPUBLICAN,13223.30732894471
2022,1,WOODS,DEMOCRAT,5290.320268583004
2022,36,SESSIONS,REPUBLICAN,64.69267105529048
2022,36,WOODS,DEMOCRAT,20.679731416995644
2024,1,LORENZEN,DEMOCRAT,7056.99931695797
2024,1,SESSIONS,REPUBLICAN,17510.09349021378
2024,36,LORENZEN,DEMOCRAT,29.000683042030847
2024,36,SESSIONS,REPUBLICAN,86.90650978621899
