old_precinct_id,new_district_id,fragment_population,precinct_total,weight
3470012,1,3980,3980,1.0
3470013,1,2277,2285,0.9964989059080963
3470013,36,8,2285,0.00350109409190372
3470014,1,6778,6778,1.0
3470015,1,3384,3384,1.0
3470016,1,4948,4948,1.0
3470017,1,2866,2866,1.0
3470021,1,5308,5465,0.9712717291857274
3470021,36,157,5465,0.028728270814272643
3470022,1,1752,1752,1.0
3470023,1,1064,1064,1.0
3470024,1,7617,7617,1.0
3470025,1,2088,2088,1.0
3470026,1,9813,9813,1.0
3470027,1,3704,3704,1.0
3470030,1,3921,3921,1.0
3470031,1,3870,3870,1.0
3470032,1,12289,12289,1.0
3470033,1,8961,8961,1.0
3470034,1,2041,2041,1.0
3470041,1,4977,4977,1.0
3470042,1,6389,6878,0.9289037510904332
3470042,36,489,6878,0.07109624890956673
3470043,1,5362,5362,1.0
3470044,1,4303,4311,0.9981442820691255
3470044,36,8,4311,0.001855717930874507
3470045,1,2124,2124,1.0
3470046,1,2063,2063,1.0
3470047,1,1327,1327,1.0
3470047,36,0,1327,0.0
