year,new_district_id,candidate,party,estimated_votes
2016,5,Barton,REPUBLICAN,47.25183066274842
2016,5,Smith,OTHER,1.42480649390758
2016,5,Woolridge,DEMOCRAT,14.700683144905048
2016,6,Barton,REPUBLICAN,11724.890560456848
2016,6,Smith,OTHER,372.22233506476744
2016,6,Woolridge,DEMOCRAT,3644.1573529878438
2016,17,Barton,REPUBLICAN,161.85760888040247
2016,17,Smith,OTHER,4.352858441324969
2016,17,Woolridge,DEMOCRAT,32.14196386725161
2018,5,HARBER,LIBERTARIAN,0.8232660902977906
2018,5,SANCHEZ,DEMOCRAT,13.779289173473389
2018,5,WRIGHT,REPUBLICAN,39.81795402311917
2018,6,HARBER,LIBERTARIAN,144.76351508752936
2018,6,SANCHEZ,DEMOCRAT,3738.0114435091664
2018,6,WRIGHT,REPUBLICAN,10189.903089530742
2018,17,HARBER,LIBERTARIAN,1.4132188221728634
2018,17,SANCHEZ,DEMOCRAT,28.20926731736054
2018,17,WRIGHT,REPUBLICAN,133.27895644613758
2020,5,BLACK,LIBERTARIAN,1.33201206445552
2020,5,DANIEL,DEMOCRAT,16.089245800744866
2020,5,WRIGHT,REPUBLICAN,53.71677182912572
2020,6,BLACK,LIBERTARIAN,460.81908429141845
2020,6,DANIEL,DEMOCRAT,4575.982855576349
2020,6,WRIGHT,REPUBLICAN,13572.37180883663
2020,17,BLACK,LIBERTARIAN,3.8489036441260693
2020,17,DANIEL,DEMOCRAT,36.92789862290694
2020,17,WRIGHT,REPUBLICAN,180.91141933424868
2022,5,ELLZEY,REPUBLICAN,48.398771730288374
2022,6,ELLZEY,REPUBLICAN,11924.544613047645
2022,17,ELLZEY,REPUBLICAN,165.0566152220672
2024,5,ELLZEY,REPUBLICAN,59.47837649715576
2024,5,LOVE,DEMOCRAT,17.178236826410114
2024,6,ELLZEY,REPUBLICAN,14925.09199821813
2024,6,LOVE,DEMOCRAT,4302.41187108289
2024,17,ELLZEY,REPUBLICAN,215.42962528471298
2024,17,LOVE,DEMOCRAT,38.40989209069988
