old_precinct_id,new_district_id,fragment_population,precinct_total,weight
3490101,6,5245,5245,1.0
3490103,6,5590,5590,1.0
3490104,6,2378,2378,1.0
3490105,6,1317,1317,1.0
3490106,6,1635,1635,1.0
3490107,6,3642,3642,1.0
3490108,5,15,1352,0.011094674556213017
3490108,6,1337,1352,0.988905325443787
3490109,5,101,1357,0.07442888725128961
3490109,6,1256,1357,0.9255711127487104
3490200,6,5329,5329,1.0
3490201,6,1956,1956,1.0
3490202,6,3651,3651,1.0
3490203,5,116,3600,0.03222222222222222
3490203,6,3444,3600,0.9566666666666667
3490203,17,40,3600,0.011111111111111112
3490204,6,847,847,1.0
3490205,6,1977,1977,1.0
3490205,17,0,1977,0.0
3490206,6,1463,1463,1.0
3490300,6,8709,8709,1.0
3490301,6,1624,1624,1.0
3490303,6,2314,2466,0.9383617193836172
3490303,17,152,2466,0.06163828061638281
3490304,6,1650,1650,1.0
3490304,17,0,1650,0.0
3490305,6,1346,1346,1.0
3490306,6,2285,2285,1.0
3490307,6,1102,1154,0.9549393414211439
3490307,17,52,1154,0.045060658578856154
3490308,6,452,740,0.6108108108108108
3490308,17,288,740,0.3891891891891892
3490400,6,4160,4160,1.0
3490401,6,2775,2775,1.0
3490402,6,7016,7016,1.0
3490403,6,3311,3311,1.0
3490404,6,1962,2016,0.9732142857142857
3490404,17,54,2016,0.026785714285714284
3490405,6,1905,1905,1.0
3490406,6,655,666,0.9834834834834835
3490406,17,11,666,0.016516516516516516
