year,new_district_id,candidate,party,estimated_votes
2016,1,Babin,REPUBLICAN,2.4437720094793027
2016,1,Ridley,OTHER,0.30046399858253414
2016,14,Babin,REPUBLICAN,194.40488471429512
2016,14,Ridley,OTHER,12.17435927518209
2016,36,Babin,REPUBLICAN,4222.151343276225
2016,36,Ridley,OTHER,464.5251767262354
2018,1,BABIN,REPUBLICAN,2.0719917609798233
2018,1,STEELE,DEMOCRAT,0.9072058204690926
2018,14,BABIN,REPUBLICAN,165.65232701040802
2018,14,STEELE,DEMOCRAT,16.888343790517084
2018,36,BABIN,REPUBLICAN,3486.275681228613
2018,36,STEELE,DEMOCRAT,978.2044503890138
2020,1,ABBEY,LIBERTARIAN,0.027518770348386526
2020,1,BABIN,REPUBLICAN,2.5214004119510087
2020,1,LEWIS,DEMOCRAT,0.9099189386724547
2020,1,RIDLEY,OTHER,0.0
2020,14,ABBEY,LIBERTARIAN,2.3427680777117876
2020,14,BABIN,REPUBLICAN,212.22174496645928
2020,14,LEWIS,DEMOCRAT,18.59299953762135
2020,14,RIDLEY,OTHER,1.044391185639841
2020,36,ABBEY,LIBERTARIAN,45.629713151939825
2020,36,BABIN,REPUBLICAN,4626.25685462159
2020,36,LEWIS,DEMOCRAT,1096.4970815237061
2020,36,RIDLEY,OTHER,10.95560881436016
2022,1,BABIN,REPUBLICAN,1.9113366756343586
2022,1,HAIRE,DEMOCRAT,0.6753139248449568
2022,14,BABIN,REPUBLICAN,154.99788106568232
2022,14,HAIRE,DEMOCRAT,9.837887326524822
2022,36,BABIN,REPUBLICAN,3496.0907822586837
2022,36,HAIRE,DEMOCRAT,674.4867987486301
2024,1,BABIN,REPUBLICAN,2.5172733766363815
2024,1,STEELE,DEMOCRAT,0.6325143360681456
2024,14,BABIN,REPUBLICAN,221.52056996179192
2024,14,STEELE,DEMOCRAT,19.542239982631443
2024,36,BABIN,REPUBLICAN,4524.962156661572
2024,36,STEELE,DEMOCRAT,876.8252456813004
