year,new_district_id,candidate,party,estimated_votes
2016,11,Arrington,REPUBLICAN,22.57577857577858
2016,11,Bonar,LIBERTARIAN,0.9042399042399043
2016,11,Lawson,OTHER,0.6064176064176063
2016,19,Arrington,REPUBLICAN,3698.4242214242213
2016,19,Bonar,LIBERTARIAN,362.0957600957601
2016,19,Lawson,OTHER,183.3935823935824
2018,11,ARRINGTON,REPUBLICAN,20.959490959490957
2018,11,LEVARIO,DEMOCRAT,1.0711690711690711
2018,19,ARRINGTON,REPUBLICAN,3198.0405090405093
2018,19,LEVARIO,DEMOCRAT,805.928830928831
2020,11,ARRINGTON,REPUBLICAN,23.009302325581395
2020,11,BURNES,LIBERTARIAN,0.2372093023255814
2020,11,WATSON,DEMOCRAT,1.0674418604651164
2020,19,ARRINGTON,REPUBLICAN,4161.990697674419
2020,19,BURNES,LIBERTARIAN,73.76279069767442
2020,19,WATSON,DEMOCRAT,1025.9325581395349
2022,11,ARRINGTON,REPUBLICAN,20.03160270880361
2022,11,LEWIS,OTHER,1.4966139954853273
2022,19,ARRINGTON,REPUBLICAN,3142.968397291196
2022,19,LEWIS,OTHER,518.5033860045146
2024,11,ARRINGTON,REPUBLICAN,21.873589164785553
2024,11,JOHNSON,LIBERTARIAN,0.8058690744920993
2024,11,LEWIS,OTHER,0.8058690744920993
2024,19,ARRINGTON,REPUBLICAN,4094.1264108352143
2024,19,JOHNSON,LIBERTARIAN,361.1941309255079
2024,19,LEWIS,OTHER,326.1941309255079
