year,new_district_id,candidate,party,estimated_votes
2016,15,Barrera,DEMOCRAT,42.87199859172632
2016,15,Farenthold,REPUBLICAN,99.7707812555676
2016,27,Barrera,DEMOCRAT,9398.289788693524
2016,27,Farenthold,REPUBLICAN,4107.555624068902
2016,34,Barrera,DEMOCRAT,41781.83821271475
2016,34,Farenthold,REPUBLICAN,47785.67359467553
2018,15,CLOUD,REPUBLICAN,94.77899307171126
2018,15,DUERR,OTHER,3.0673976773977985
2018,15,HOLGUIN,DEMOCRAT,35.70272631492784
2018,15,TINUS,LIBERTARIAN,0.5533041599699103
2018,27,CLOUD,REPUBLICAN,3278.8914704120843
2018,27,DUERR,OTHER,289.8608837537344
2018,27,HOLGUIN,DEMOCRAT,7252.059801635996
2018,27,TINUS,LIBERTARIAN,87.27456759619132
2018,34,CLOUD,REPUBLICAN,41550.329536516205
2018,34,DUERR,OTHER,2734.0717185688686
2018,34,HOLGUIN,DEMOCRAT,37404.23747204908
2018,34,TINUS,LIBERTARIAN,743.1721282438386
2020,15,CLOUD,REPUBLICAN,130.46596342998131
2020,15,DE LA FUENTE,DEMOCRAT,44.42389966211784
2020,15,GRAY,LIBERTARIAN,1.8477203234941795
2020,27,CLOUD,REPUBLICAN,5176.559572928656
2020,27,DE LA FUENTE,DEMOCRAT,9107.809738641945
2020,27,GRAY,LIBERTARIAN,329.5257856641703
2020,34,CLOUD,REPUBLICAN,60067.97446364133
2020,34,DE LA FUENTE,DEMOCRAT,46951.76636169595
2020,34,GRAY,LIBERTARIAN,2560.626494012336
2022,15,CLOUD,REPUBLICAN,110.45411970969757
2022,15,PEREZ,DEMOCRAT,34.407957777661984
2022,27,CLOUD,REPUBLICAN,3404.048467644578
2022,27,PEREZ,DEMOCRAT,5723.844005841969
2022,34,CLOUD,REPUBLICAN,43684.49741264572
2022,34,PEREZ,DEMOCRAT,35663.74803638036
2024,15,CLOUD,REPUBLICAN,143.5823846752626
2024,15,LLOYD,DEMOCRAT,38.17694818837167
2024,27,CLOUD,REPUBLICAN,5449.007892510488
2024,27,LLOYD,DEMOCRAT,7105.675493891546
2024,34,CLOUD,REPUBLICAN,62535.409722814235
2024,34,LLOYD,DEMOCRAT,43244.147557920085
