old_precinct_id,new_district_id,fragment_population,precinct_total,weight
3550001,27,3866,4287,0.9017961278283182
3550001,34,421,4287,0.09820387217168183
3550002,27,202,6698,0.030158256195879366
3550002,34,6496,6698,0.9698417438041206
3550003,34,7863,7863,1.0
3550004,27,0,8557,0.0
3550004,34,8557,8557,1.0
3550005,34,4149,4149,1.0
3550006,34,9764,9764,1.0
3550007,27,2295,2875,0.7982608695652174
3550007,34,580,2875,0.20173913043478262
3550008,34,17503,17503,1.0
3550009,15,17,5499,0.0030914711765775596
3550009,34,5482,5499,0.9969085288234224
3550010,15,353,2445,0.1443762781186094
3550010,34,2092,2445,0.8556237218813906
3550011,15,42,1276,0.032915360501567396
3550011,34,1234,1276,0.9670846394984326
3550012,34,2773,2773,1.0
3550013,34,2474,2474,1.0
3550014,34,1256,1256,1.0
3550015,27,0,2713,0.0
3550015,34,2713,2713,1.0
3550016,34,3167,3167,1.0
3550017,34,12424,12424,1.0
3550018,27,0,9169,0.0
3550018,34,9169,9169,1.0
3550019,27,4428,5470,0.8095063985374772
3550019,34,1042,5470,0.19049360146252287
3550020,34,7623,7623,1.0
3550021,15,0,625,0.0
3550021,27,625,625,1.0
3550021,34,0,625,0.0
3550022,34,1046,1046,1.0
3550023,15,33,5219,0.006323050392795555
3550023,34,5186,5219,0.9936769496072044
3550024,27,2519,6684,0.37687013764213045
3550024,34,4165,6684,0.6231298623578695
3550025,15,153,1682,0.09096313912009513
3550025,34,1529,1682,0.9090368608799049
3550026,34,15860,15860,1.0
3550027,34,2354,2354,1.0
3550028,34,556,556,1.0
3550029,34,8891,8891,1.0
3550030,27,345,345,1.0
3550030,34,0,345,0.0
3550031,27,2045,2533,0.8073430714567706
3550031,34,488,2533,0.19265692854322938
3550032,34,11823,11823,1.0
3550033,27,3358,3358,1.0
3550034,34,1252,1252,1.0
3550035,34,1841,1841,1.0
3550036,15,0,1270,0.0
3550036,34,1270,1270,1.0
3550037,34,3683,3683,1.0
3550038,27,402,402,1.0
3550038,34,0,402,0.0
3550039,27,1066,2963,0.35977050286871415
3550039,34,1897,2963,0.6402294971312859
3550040,27,200,7608,0.026288117770767613
3550040,34,7408,7608,0.9737118822292324
3550041,27,1331,1331,1.0
3550042,27,32,1256,0.025477707006369428
3550042,34,1224,1256,0.9745222929936306
3550043,27,2988,3391,0.881156001179593
3550043,34,403,3391,0.11884399882040696
3550044,27,3175,3343,0.9497457373616512
3550044,34,168,3343,0.05025426263834879
3550045,27,1940,1940,1.0
3550046,27,1519,1519,1.0
3550047,27,1318,1318,1.0
3550048,34,4245,4245,1.0
3550049,34,4215,4215,1.0
3550050,34,2612,2612,1.0
3550051,34,4750,4750,1.0
3550052,27,2542,2734,0.9297732260424286
3550052,34,192,2734,0.07022677395757132
3550053,27,1850,4980,0.3714859437751004
3550053,34,3130,4980,0.6285140562248996
3550054,34,3443,3443,1.0
3550055,34,3499,3499,1.0
3550056,27,4018,5753,0.6984182165826526
3550056,34,1735,5753,0.3015817834173475
3550057,27,1505,4446,0.338506522717049
3550057,34,2941,4446,0.6614934772829509
3550058,27,242,2679,0.09033221351250467
3550058,34,2437,2679,0.9096677864874954
3550059,34,3772,3772,1.0
3550060,27,2806,3718,0.7547068316299086
3550060,34,912,3718,0.24529316837009144
3550061,27,3311,3766,0.879182156133829
3550061,34,455,3766,0.120817843866171
3550062,27,1919,3490,0.5498567335243553
3550062,34,1571,3490,0.4501432664756447
3550063,27,283,5309,0.05330570728950838
3550063,34,5026,5309,0.9466942927104917
3550064,27,354,3769,0.0939241178031308
3550064,34,3415,3769,0.9060758821968692
3550065,27,85,7745,0.010974822466107165
3550065,34,7660,7745,0.9890251775338929
3550066,34,3973,3973,1.0
3550067,34,16618,16618,1.0
3550068,34,4196,4196,1.0
3550069,27,926,7091,0.13058806938372586
3550069,34,6165,7091,0.8694119306162742
3550070,34,11716,11716,1.0
3550071,27,4457,5142,0.866783352781019
3550071,34,685,5142,0.13321664721898094
3550072,27,987,7401,0.1333603567085529
3550072,34,6414,7401,0.866639643291447
3550073,27,4180,6427,0.6503812042943831
3550073,34,2247,6427,0.34961879570561694
3550074,27,4493,4842,0.9279223461379595
3550074,34,349,4842,0.07207765386204049
3550075,27,6307,6800,0.9275
3550075,34,493,6800,0.0725
3550076,27,2791,2791,1.0
3550077,27,1553,1553,1.0
3550078,27,3402,4216,0.8069259962049335
3550078,34,814,4216,0.19307400379506642
3550079,27,3616,3697,0.9780903435217744
3550079,34,81,3697,0.021909656478225587
3550080,27,3259,3625,0.8990344827586206
3550080,34,366,3625,0.10096551724137931
3550081,27,329,6851,0.04802218654211064
3550081,34,6522,6851,0.9519778134578893
3550082,27,1101,4033,0.27299776841061246
3550082,34,2932,4033,0.7270022315893876
3550083,27,3103,3388,0.9158795749704841
3550083,34,285,3388,0.08412042502951594
3550084,34,2748,2748,1.0
3550085,27,1970,2980,0.6610738255033557
3550085,34,1010,2980,0.3389261744966443
3550086,34,2086,2086,1.0
3550087,34,4948,4948,1.0
3550088,34,9917,9917,1.0
3550089,34,1974,1974,1.0
3550090,34,3522,3522,1.0
3550091,27,0,9888,0.0
3550091,34,9888,9888,1.0
3550092,34,5377,5377,1.0
3550093,27,0,9451,0.0
3550093,34,9451,9451,1.0
3550094,34,5874,5874,1.0
3550095,27,175,2872,0.06093314763231198
3550095,34,2697,2872,0.939066852367688
3550096,27,1509,5432,0.2777982326951399
3550096,34,3923,5432,0.7222017673048601
3550097,27,3200,3988,0.802407221664995
3550097,34,788,3988,0.19759277833500502
3550098,27,4115,4190,0.9821002386634845
3550098,34,75,4190,0.017899761336515514
3550099,27,2703,3628,0.7450385887541345
3550099,34,925,3628,0.25496141124586547
3550100,34,4563,4563,1.0
3550101,34,10849,10849,1.0
3550102,34,2371,2371,1.0
3550103,15,0,8342,0.0
3550103,27,390,8342,0.04675137856629106
3550103,34,7952,8342,0.9532486214337089
3550104,34,1784,1784,1.0
3550105,34,3624,3624,1.0
3550106,34,8606,8606,1.0
3550107,15,0,10253,0.0
3550107,34,10253,10253,1.0
3550108,34,3502,3502,1.0
3550109,34,2201,2201,1.0
3550110,34,5781,5781,1.0
3550111,15,17,2212,0.0076853526220614825
3550111,34,2195,2212,0.9923146473779385
3550112,34,5929,5929,1.0
3550113,27,3652,4416,0.8269927536231884
3550113,34,764,4416,0.17300724637681159
3550114,27,0,5495,0.0
3550114,34,5495,5495,1.0
3550115,34,9891,9891,1.0
3550116,34,10816,10816,1.0
3550117,34,6909,6909,1.0
3550118,34,8987,8987,1.0
3550119,34,6582,6582,1.0
3550120,34,8549,8549,1.0
3550121,34,5282,5282,1.0
3550122,34,9682,9682,1.0
3550123,34,5902,5902,1.0
3550124,34,14210,14210,1.0
3550125,34,18499,18499,1.0
3550126,34,15522,15522,1.0
3550127,34,4088,4088,1.0
