old_precinct_id,new_district_id,fragment_population,precinct_total,weight
3610001,14,1171,1171,1.0
3610002,14,3358,3358,1.0
3610003,14,3566,3566,1.0
3610004,14,1347,1347,1.0
3610005,14,2961,2961,1.0
3610006,14,3245,3245,1.0
3610006,36,0,3245,0.0
3610007,14,3848,3848,1.0
3610008,14,4477,4477,1.0
3610009,14,3982,4272,0.9321161048689138
3610009,36,290,4272,0.06788389513108614
3610010,14,1834,1834,1.0
3610011,14,2938,2938,1.0
3610012,14,3144,3144,1.0
3610013,14,3775,3775,1.0
3610014,14,4072,4072,1.0
3610015,14,2966,2966,1.0
3610016,14,6833,7814,0.8744561044279499
3610016,36,981,7814,0.12554389557205017
3610017,14,5012,5373,0.9328122091941188
3610017,36,361,5373,0.06718779080588126
3610018,14,5439,5439,1.0
3610019,14,3990,3990,1.0
3610019,36,0,3990,0.0
3610020,14,4332,4332,1.0
3610021,14,883,883,1.0
3610021,36,0,883,0.0
3610022,14,3617,3617,1.0
3610022,36,0,3617,0.0
3610023,14,5095,5095,1.0
3610024,14,3589,3589,1.0
3610025,14,4754,4754,1.0
3610026,14,6490,6490,1.0
3610027,14,6204,6445,0.9626066718386346
3610027,36,241,6445,0.0373933281613654
3610028,14,6885,6885,1.0
3610029,14,3016,3016,1.0
3610030,14,1911,1911,1.0
3610031,14,5846,7159,0.81659449643805
3610031,36,1313,7159,0.18340550356194998
3610032,14,4661,4661,1.0
3610033,14,3219,3219,1.0
3610034,14,5769,5769,1.0
